M,Emax,K,N_meas,N_std,branch_linear,branch_cap,model,resid
50,25000,1,16.375,2.288,20.676,17.25,17.25,-0.875
50,25000,2,21.875,1.965,18.723,34.5,18.723,3.152
50,25000,3,17.125,1.965,16.771,51.75,16.771,0.354
50,25000,4,15.125,1.269,14.818,69.0,14.818,0.307
50,25000,5,12.25,2.107,12.866,86.25,12.866,-0.616
50,25000,6,10.375,2.342,10.914,103.5,10.914,-0.539
50,25000,7,9.375,1.867,8.961,120.75,8.961,0.414
50,25000,8,6.75,1.854,7.009,138.0,7.009,-0.259
50,25000,9,5.25,1.639,5.057,155.25,5.057,0.193
50,25000,10,3.25,1.299,3.104,172.5,3.104,0.146
50,50000,1,16.375,2.288,47.075,17.25,17.25,-0.875
50,50000,2,32.25,2.278,43.5,34.5,34.5,-2.25
50,50000,3,39.0,3.5,39.925,51.75,39.925,-0.925
50,50000,4,37.75,2.817,36.35,69.0,36.35,1.4
50,50000,5,32.75,2.773,32.775,86.25,32.775,-0.025
50,50000,6,28.75,1.714,29.2,103.5,29.2,-0.45
50,100000,1,16.375,2.288,45.79,17.25,17.25,-0.875
50,100000,2,32.5,2.0,46.129,34.5,34.5,-2.0
50,100000,3,42.125,3.887,46.469,51.75,46.469,-4.344
50,100000,4,47.5,2.0,46.808,69.0,46.808,0.692
50,100000,5,49.625,0.992,47.147,86.25,47.147,2.478
50,100000,6,49.5,1.0,47.487,103.5,47.487,2.013
50,100000,7,49.375,1.111,47.826,120.75,47.826,1.549
50,100000,8,49.0,1.0,48.165,138.0,48.165,0.835
50,100000,9,48.0,1.225,48.504,155.25,48.504,-0.504
50,100000,10,46.125,1.833,48.844,172.5,48.844,-2.719
100,25000,1,25.0,1.414,28.293,25.333,25.333,-0.333
100,25000,2,27.5,3.742,25.902,50.666,25.902,1.598
100,25000,3,22.75,2.947,23.51,75.999,23.51,-0.76
100,25000,4,21.25,3.597,21.119,101.332,21.119,0.131
100,25000,5,19.375,2.736,18.728,126.665,18.728,0.647
100,25000,6,16.5,1.803,16.336,151.998,16.336,0.164
100,25000,7,14.625,1.798,13.945,177.331,13.945,0.68
100,25000,8,11.0,1.414,11.554,202.664,11.554,-0.554
100,25000,9,8.875,1.9,9.162,227.997,9.162,-0.287
100,25000,10,6.75,0.968,6.771,253.33,6.771,-0.021
100,50000,1,25.0,1.414,70.963,25.333,25.333,-0.333
100,50000,2,45.0,2.872,64.875,50.666,50.666,-5.666
100,50000,3,60.375,4.973,58.788,75.999,58.788,1.587
100,50000,4,51.25,3.455,52.7,101.332,52.7,-1.45
100,50000,5,44.75,5.695,46.613,126.665,46.613,-1.863
100,50000,6,42.25,4.409,40.525,151.998,40.525,1.725
100,100000,1,25.0,1.414,78.996,25.333,25.333,-0.333
100,100000,2,45.0,2.872,79.826,50.666,50.666,-5.666
100,100000,3,64.375,4.414,80.656,75.999,75.999,-11.624
100,100000,4,81.125,3.516,81.487,101.332,81.487,-0.362
100,100000,5,92.75,3.419,82.317,126.665,82.317,10.433
100,100000,6,94.0,2.0,83.147,151.998,83.147,10.853
100,100000,7,91.375,4.498,83.978,177.331,83.978,7.397
100,100000,8,86.0,5.5,84.808,202.664,84.808,1.192
100,100000,9,81.625,5.499,85.638,227.997,85.638,-4.013
100,100000,10,77.25,5.449,86.469,253.33,86.469,-9.219
200,25000,1,34.125,3.621,35.396,33.833,33.833,0.292
200,25000,2,37.5,6.042,33.0,67.666,33.0,4.5
200,25000,3,29.875,5.925,30.604,101.499,30.604,-0.729
200,25000,4,28.0,3.708,28.208,135.332,28.208,-0.208
200,25000,5,25.75,2.681,25.813,169.165,25.813,-0.063
200,25000,6,24.625,2.736,23.417,202.998,23.417,1.208
200,25000,7,22.0,1.936,21.021,236.831,21.021,0.979
200,25000,8,18.25,1.392,18.625,270.664,18.625,-0.375
200,25000,9,15.875,1.691,16.229,304.497,16.229,-0.354
200,25000,10,13.375,1.576,13.833,338.33,13.833,-0.458
200,50000,1,34.125,3.621,102.537,33.833,33.833,0.292
200,50000,2,66.5,4.61,93.062,67.666,67.666,-1.166
200,50000,3,84.625,4.121,83.588,101.499,83.588,1.037
200,50000,4,72.5,6.801,74.113,135.332,74.113,-1.613
200,50000,5,64.75,5.117,64.638,169.165,64.638,0.112
200,50000,6,55.625,8.572,55.163,202.998,55.163,0.462
200,100000,1,34.125,3.621,126.418,33.833,33.833,0.292
200,100000,2,66.375,4.526,126.964,67.666,67.666,-1.291
200,100000,3,96.125,4.594,127.51,101.499,101.499,-5.374
200,100000,4,122.875,5.254,128.057,135.332,128.057,-5.182
200,100000,5,147.25,3.269,128.603,169.165,128.603,18.647
200,100000,6,156.25,5.19,129.149,202.998,129.149,27.101
200,100000,7,147.625,9.617,129.695,236.831,129.695,17.93
200,100000,8,132.125,8.358,130.241,270.664,130.241,1.884
200,100000,9,122.375,8.154,130.787,304.497,130.787,-8.412
200,100000,10,110.75,8.885,131.333,338.33,131.333,-20.583
