M,e,r,r_std,instances
50,1500.0,0.667,0.745,6
50,2169.0,0.833,0.373,6
50,3137.0,1.5,0.764,6
50,4536.0,4.0,0.816,6
50,6560.0,6.333,0.745,6
50,9487.0,8.333,1.106,6
50,13719.0,13.5,2.217,6
50,19840.0,17.167,2.115,6
50,28691.0,17.833,1.675,6
50,41490.0,17.0,2.309,6
50,60000.0,17.0,2.309,6
100,1500.0,1.167,0.687,6
100,2169.0,1.667,0.471,6
100,3137.0,2.833,0.373,6
100,4536.0,4.167,1.772,6
100,6560.0,8.167,1.067,6
100,9487.0,11.833,1.951,6
100,13719.0,17.333,2.687,6
100,19840.0,25.333,1.374,6
100,28691.0,25.333,1.374,6
100,41490.0,25.333,1.374,6
100,60000.0,25.333,1.374,6
200,1500.0,2.333,0.745,6
200,2169.0,3.0,1.155,6
200,3137.0,4.333,0.471,6
200,4536.0,7.0,1.291,6
200,6560.0,9.833,1.344,6
200,9487.0,13.833,2.192,6
200,13719.0,23.667,4.269,6
200,19840.0,33.833,3.976,6
200,28691.0,33.833,3.976,6
200,41490.0,33.833,3.976,6
200,60000.0,33.833,3.976,6
