M,K,n_seeds,instances,beam_width,greedy_pre_mean,greedy_pre_std,greedy_pp_mean,greedy_pp_std,beam_pre_mean,beam_pre_std,beam_pp_mean,beam_pp_std,d_raw,d_final,recovery_pct,beam_pp_seed0,beam_pp_seed1,beam_pp_seed2
50,1,3,30,5,-19.026323405795623,4.063463411328143,-44.32504130045572,0.8095817884515008,-30.89815378316244,2.619243509670644,-45.217062327067055,0.5499844140214811,-11.871830377366816,-0.8920210266113315,46.92660879811878,-44.875,-44.925,-45.851
50,2,3,30,5,-70.33518811035157,1.8627025197561824,-87.0754111328125,0.3684413618777132,-78.54212611897786,1.269276433525707,-89.93838663736979,0.7128996168837665,-8.206938008626295,-2.8629755045572836,49.02526087982677,-89.781,-89.317,-90.717
50,3,3,30,5,-105.61863932291668,3.653179256874219,-114.56852627224391,2.788634702109369,-111.71221686469183,2.8849277745989497,-118.58523461235893,2.5642496192303126,-6.093577541775147,-4.0167083401150165,68.08552528401715,-119.391,-120.650,-115.715
50,4,3,30,5,-118.91808123779295,3.933581073558053,-128.3564767489963,5.042661378067585,-125.28526421101888,4.702915973516396,-133.48269379679363,6.279767482837743,-6.367182973225937,-5.126217047797326,67.46043822457011,-139.175,-126.746,-134.527
50,5,3,30,5,-122.0218167385525,1.060151265355569,-130.100114976671,0.7677807165613533,-125.83204142252605,0.5409182108549615,-133.57771448092993,0.8861800647535893,-3.8102246839735443,-3.477599504258933,47.16617995105092,-132.926,-133.220,-134.587
50,6,3,30,5,-117.23413338385687,2.593682137172849,-124.67694048224554,2.04182981654093,-119.68730753411188,2.8381326627539436,-126.86897188144258,2.1822999973360644,-2.453174150255009,-2.1920313991970346,32.960334962679724,-128.595,-124.416,-127.596
50,8,3,30,5,-94.91889751603867,0.8624040015661312,-98.02196597968207,0.6713147959166307,-95.72364969974093,1.1489423569417574,-98.68199937862819,0.6381035973482185,-0.8047521837022629,-0.6600333989461262,25.934077611596802,-98.953,-99.140,-97.953
60,1,3,30,5,-21.019983508639864,2.0841814486693107,-52.04016782294379,1.952718574732702,-32.88008470323351,2.3978048615992047,-53.85024108547635,2.298130974369264,-11.860101194593643,-1.8100732625325548,38.233496856189696,-51.247,-54.706,-55.598
60,2,3,30,5,-79.36322354465061,3.1733175667758897,-92.13429332139758,0.8593730187398831,-89.02874072943791,2.9821342354804496,-98.80774677870009,3.3246013428968375,-9.665517184787305,-6.673453457302514,75.68290952717112,-99.934,-95.066,-101.423
60,3,3,30,5,-116.14503653971354,0.5432830086796122,-127.32938838704428,1.2653264831281483,-124.25641615125868,2.3944981399357554,-133.3445332370334,2.0720210221395363,-8.111379611545132,-6.015144849989127,72.52436012625088,-135.457,-133.260,-131.316
60,4,3,30,5,-133.05204515245225,2.9980408988122065,-143.80671158854167,2.2155650491572136,-137.1935551011827,4.0146770939302385,-147.34419693332248,3.53564409834478,-4.141509948730459,-3.537485344780805,38.50895770075024,-148.430,-143.393,-150.210
60,5,3,30,5,-128.74481732855904,0.6029440365051649,-144.97235948350695,1.4780835895113746,-132.81132942030166,0.7410976665987733,-148.27380875651042,3.1356171458666853,-4.066512091742624,-3.3014492730034704,25.059322310881875,-151.450,-145.180,-148.192
60,6,3,30,5,-130.8077465108236,1.6420147882985203,-140.66474652777777,0.7012313938190243,-133.05258559841582,2.0790597964266198,-142.50244799465602,1.036798552731715,-2.2448390875922257,-1.8377014668782579,22.774059893791943,-142.102,-141.726,-143.680
60,8,3,30,5,-117.00842003885903,2.3596273066624884,-121.70858922322589,3.090585050544645,-117.35765925428602,2.4135577722700297,-121.8402850121392,3.0917598763889336,-0.34923921542699077,-0.13169578891331923,7.430354136795516,-118.285,-123.898,-123.337
80,1,3,30,5,-23.638417972140843,10.59011732590943,-60.31292379082574,3.375431189201401,-34.693529825846355,10.234798931485118,-61.904703345404734,1.3799564200624035,-11.055111853705512,-1.5917795545789915,30.143860447256966,-63.248,-61.975,-60.491
80,2,3,30,5,-81.1027117852105,3.202722993988167,-103.10368339708116,5.457572603213077,-89.73871789550782,3.902950151768887,-108.54532449679904,5.616083139960837,-8.636006110297316,-5.441641099717884,39.252839659307355,-107.634,-103.441,-114.562
80,3,3,30,5,-130.01776912434897,3.7111132301183716,-147.92915835232202,2.6789855022273112,-143.43728951009115,2.781612558700707,-157.56315387641055,2.3227888830230037,-13.419520385742175,-9.633995524088533,74.92171720987609,-155.549,-160.104,-157.037
80,4,3,30,5,-153.2208551432292,4.879248040717348,-173.67492713080512,2.860320139974565,-160.64071236165367,5.1105720617147306,-178.45564567057292,2.0581230181933288,-7.419857218424482,-4.780718539767804,36.27569719580239,-177.363,-177.174,-180.830
