FLEET BEAM SEARCH vs GREEDY — raw-policy routing objective
beam_width=5, common 30-instance set (INSTANCE_SEED=2025), +/- = std over seeds. lower = better.
d_raw = beam(pre)-greedy(pre).  recovery% = share of the post-process gain that beam alone captures.
d_final = beam+pp - greedy+pp  (the decision number: <0 => beam worth the full re-eval).
======================================================================================================================
   M  K   greedy(pre)   greedy+pp   beam(pre)     beam+pp    d_raw  recov%  d_final
----------------------------------------------------------------------------------------------------------------------
  50  1        -19.03      -44.33      -30.90      -45.22   -11.87     47%    -0.89
  50  2        -70.34      -87.08      -78.54      -89.94    -8.21     49%    -2.86
  50  3       -105.62     -114.57     -111.71     -118.59    -6.09     68%    -4.02
  50  4       -118.92     -128.36     -125.29     -133.48    -6.37     67%    -5.13
  50  5       -122.02     -130.10     -125.83     -133.58    -3.81     47%    -3.48
  50  6       -117.23     -124.68     -119.69     -126.87    -2.45     33%    -2.19
  50  8        -94.92      -98.02      -95.72      -98.68    -0.80     26%    -0.66
  60  1        -21.02      -52.04      -32.88      -53.85   -11.86     38%    -1.81
  60  2        -79.36      -92.13      -89.03      -98.81    -9.67     76%    -6.67
  60  3       -116.15     -127.33     -124.26     -133.34    -8.11     73%    -6.02
  60  4       -133.05     -143.81     -137.19     -147.34    -4.14     39%    -3.54
  60  5       -128.74     -144.97     -132.81     -148.27    -4.07     25%    -3.30
  60  6       -130.81     -140.66     -133.05     -142.50    -2.24     23%    -1.84
  60  8       -117.01     -121.71     -117.36     -121.84    -0.35      7%    -0.13
  80  1        -23.64      -60.31      -34.69      -61.90   -11.06     30%    -1.59
  80  2        -81.10     -103.10      -89.74     -108.55    -8.64     39%    -5.44
  80  3       -130.02     -147.93     -143.44     -157.56   -13.42     75%    -9.63
  80  4       -153.22     -173.67     -160.64     -178.46    -7.42     36%    -4.78
  80  5       -157.09     -175.68     -161.84     -179.73    -4.76     26%    -4.05
  80  6       -153.38     -169.17     -158.56     -173.22    -5.18     33%    -4.05
  80  8       -136.05     -143.11     -136.88     -143.76    -0.83     12%    -0.65
 100  1        -27.04      -68.13      -41.88      -69.31   -14.84     36%    -1.18
 100  2        -81.92     -114.44      -95.31     -120.46   -13.39     41%    -6.02
 100  3       -146.60     -176.07     -157.12     -183.47   -10.52     36%    -7.40
 100  4       -170.76     -204.19     -178.70     -207.14    -7.94     24%    -2.95
 100  5       -178.84     -203.84     -184.20     -207.54    -5.36     21%    -3.69
 100  6       -177.77     -198.42     -181.26     -200.15    -3.49     17%    -1.74
 100  8       -159.11     -168.18     -161.08     -169.78    -1.97     22%    -1.61
 120  1        -27.11      -74.84      -38.34      -75.62   -11.23     24%    -0.78
 120  2        -83.58     -129.57      -98.55     -132.40   -14.97     33%    -2.83
 120  3       -157.45     -197.05     -166.60     -204.31    -9.15     23%    -7.26
 120  4       -189.35     -230.05     -199.23     -235.94    -9.88     24%    -5.89
 120  5       -203.11     -236.97     -210.79     -243.06    -7.68     23%    -6.09
 120  6       -201.24     -228.36     -206.54     -232.70    -5.30     20%    -4.34
 120  8       -178.68     -191.57     -180.81     -193.11    -2.13     17%    -1.54
 150  1        -36.24      -78.03      -50.65      -80.54   -14.42     34%    -2.51
 150  2        -72.09     -139.71      -91.74     -142.99   -19.65     29%    -3.29
 150  3       -169.16     -230.19     -178.76     -234.02    -9.60     16%    -3.83
 150  4       -211.45     -263.20     -223.30     -270.48   -11.84     23%    -7.29
 150  5       -229.75     -272.67     -236.08     -276.93    -6.33     15%    -4.26
 150  6       -225.52     -259.16     -231.81     -262.10    -6.29     19%    -2.94
 150  8       -208.09     -225.15     -212.34     -228.47    -4.25     25%    -3.32
 200  1        -40.27      -83.89      -57.02      -86.08   -16.75     38%    -2.19
 200  2        -51.54     -165.16      -73.23     -156.02   -21.69     19%     9.13
 200  3       -194.37     -275.51     -206.80     -277.45   -12.44     15%    -1.94
 200  4       -251.75     -315.02     -263.21     -324.06   -11.45     18%    -9.04
 200  5       -272.02     -327.81     -279.14     -329.74    -7.12     13%    -1.93
 200  6       -269.44     -310.75     -278.64     -319.26    -9.21     22%    -8.52
 200  8       -249.80     -273.70     -253.22     -276.28    -3.41     14%    -2.58
----------------------------------------------------------------------------------------------------------------------
