FLEET BEAM SEARCH vs GREEDY — raw-policy routing objective
beam_width=5, common 30-instance set (INSTANCE_SEED=2025), +/- = std over seeds. lower = better.
RAW: d_raw = beam(pre)-greedy(pre) (<=0 always; the clean methodological gain).
FINAL: greedy+pp = current headline.  beam+pp can regress (post-process insertion dominates at low K).
portfolio = per-instance best(greedy+pp, beam+pp).  d_port = portfolio - greedy+pp  (<=0 by construction: the safe headline).
======================================================================================================================
   M  K      g(pre)    b(pre)   d_raw  |  greedy+pp    beam+pp  portfolio  d_final   d_port
----------------------------------------------------------------------------------------------------------------------
  50  1      -19.03    -30.90  -11.87  |     -44.33     -45.22     -48.04    -0.89    -3.72
  50  2      -70.34    -78.54   -8.21  |     -87.08     -89.94     -91.56    -2.86    -4.49
  50  3     -105.62   -111.71   -6.09  |    -114.57    -118.59    -119.32    -4.02    -4.75
  50  4     -118.92   -125.29   -6.37  |    -128.36    -133.48    -133.83    -5.13    -5.47
  50  5     -122.02   -125.83   -3.81  |    -130.10    -133.58    -133.91    -3.48    -3.81
  50  6     -117.23   -119.69   -2.45  |    -124.68    -126.87    -126.97    -2.19    -2.29
  50  8      -94.92    -95.72   -0.80  |     -98.02     -98.68     -98.71    -0.66    -0.69
  60  1      -21.02    -32.88  -11.86  |     -52.04     -53.85     -55.72    -1.81    -3.68
  60  2      -79.36    -89.03   -9.67  |     -92.13     -98.81    -100.17    -6.67    -8.04
  60  3     -116.15   -124.26   -8.11  |    -127.33    -133.34    -133.96    -6.02    -6.63
  60  4     -133.05   -137.19   -4.14  |    -143.81    -147.34    -147.71    -3.54    -3.90
  60  5     -128.74   -132.81   -4.07  |    -144.97    -148.27    -148.56    -3.30    -3.59
  60  6     -130.81   -133.05   -2.24  |    -140.66    -142.50    -142.62    -1.84    -1.96
  60  8     -117.01   -117.36   -0.35  |    -121.71    -121.84    -121.95    -0.13    -0.24
  80  1      -23.64    -34.69  -11.06  |     -60.31     -61.90     -63.62    -1.59    -3.31
  80  2      -81.10    -89.74   -8.64  |    -103.10    -108.55    -109.91    -5.44    -6.80
  80  3     -130.02   -143.44  -13.42  |    -147.93    -157.56    -158.57    -9.63   -10.65
  80  4     -153.22   -160.64   -7.42  |    -173.67    -178.46    -179.30    -4.78    -5.62
  80  5     -157.09   -161.84   -4.76  |    -175.68    -179.73    -180.10    -4.05    -4.42
  80  6     -153.38   -158.56   -5.18  |    -169.17    -173.22    -173.43    -4.05    -4.27
  80  8     -136.05   -136.88   -0.83  |    -143.11    -143.76    -143.80    -0.65    -0.69
 100  1      -27.04    -41.88  -14.84  |     -68.13     -69.31     -72.43    -1.18    -4.29
 100  2      -81.92    -95.31  -13.39  |    -114.44    -120.46    -123.39    -6.02    -8.95
 100  3     -146.60   -157.12  -10.52  |    -176.07    -183.47    -184.40    -7.40    -8.33
 100  4     -170.76   -178.70   -7.94  |    -204.19    -207.14    -208.87    -2.95    -4.69
 100  5     -178.84   -184.20   -5.36  |    -203.84    -207.54    -208.11    -3.69    -4.26
 100  6     -177.77   -181.26   -3.49  |    -198.42    -200.15    -200.74    -1.74    -2.32
 100  8     -159.11   -161.08   -1.97  |    -168.18    -169.78    -169.93    -1.61    -1.76
 120  1      -27.11    -38.34  -11.23  |     -74.84     -75.62     -78.06    -0.78    -3.22
 120  2      -83.58    -98.55  -14.97  |    -129.57    -132.40    -135.89    -2.83    -6.32
 120  3     -157.45   -166.60   -9.15  |    -197.05    -204.31    -205.55    -7.26    -8.49
 120  4     -189.35   -199.23   -9.88  |    -230.05    -235.94    -237.52    -5.89    -7.47
 120  5     -203.11   -210.79   -7.68  |    -236.97    -243.06    -244.21    -6.09    -7.24
 120  6     -201.24   -206.54   -5.30  |    -228.36    -232.70    -233.16    -4.34    -4.80
 120  8     -178.68   -180.81   -2.13  |    -191.57    -193.11    -193.52    -1.54    -1.95
 150  1      -36.24    -50.65  -14.42  |     -78.03     -80.54     -83.09    -2.51    -5.06
 150  2      -72.09    -91.74  -19.65  |    -139.71    -142.99    -148.94    -3.29    -9.23
 150  3     -169.16   -178.76   -9.60  |    -230.19    -234.02    -237.55    -3.83    -7.36
 150  4     -211.45   -223.30  -11.84  |    -263.20    -270.48    -271.76    -7.29    -8.57
 150  5     -229.75   -236.08   -6.33  |    -272.67    -276.93    -278.07    -4.26    -5.41
 150  6     -225.52   -231.81   -6.29  |    -259.16    -262.10    -263.45    -2.94    -4.30
 150  8     -208.09   -212.34   -4.25  |    -225.15    -228.47    -228.95    -3.32    -3.79
 200  1      -40.27    -57.02  -16.75  |     -83.89     -86.08     -90.90    -2.19    -7.02
 200  2      -51.54    -73.23  -21.69  |    -165.16    -156.02    -168.73     9.13    -3.57
 200  3     -194.37   -206.80  -12.44  |    -275.51    -277.45    -282.90    -1.94    -7.38
 200  4     -251.75   -263.21  -11.45  |    -315.02    -324.06    -325.50    -9.04   -10.48
 200  5     -272.02   -279.14   -7.12  |    -327.81    -329.74    -332.30    -1.93    -4.49
 200  6     -269.44   -278.64   -9.21  |    -310.75    -319.26    -319.79    -8.52    -9.04
 200  8     -249.80   -253.22   -3.41  |    -273.70    -276.28    -276.68    -2.58    -2.98
----------------------------------------------------------------------------------------------------------------------
