M,K,instances,greedy_routing,beam_routing,d_routing,greedy_penalty,beam_penalty,d_penalty,greedy_final,beam_final,d_final,augmented_final,augmented_method
50,1,30,-44.325,-45.217,-0.892,0.000,0.000,0.000,-44.325,-45.217,-0.892,-45.217,beam
50,2,30,-87.075,-89.938,-2.863,1.701,1.639,-0.062,-85.374,-88.300,-2.925,-88.300,beam
50,3,30,-114.569,-118.585,-4.017,3.571,3.559,-0.011,-110.998,-115.026,-4.028,-115.026,beam
50,4,30,-128.356,-133.483,-5.126,4.653,4.711,0.058,-123.703,-128.772,-5.069,-128.772,beam
50,5,30,-130.100,-133.578,-3.478,5.501,5.597,0.096,-124.599,-127.981,-3.382,-127.981,beam
50,6,30,-124.677,-126.869,-2.192,6.076,6.125,0.049,-118.601,-120.744,-2.143,-120.744,beam
50,8,30,-98.022,-98.682,-0.660,7.094,7.091,-0.003,-90.928,-91.591,-0.663,-91.591,beam
60,1,30,-52.040,-53.850,-1.810,0.000,0.000,0.000,-52.040,-53.850,-1.810,-53.850,beam
60,2,30,-92.134,-98.808,-6.673,2.009,2.323,0.314,-90.125,-96.484,-6.359,-96.484,beam
60,3,30,-127.329,-133.345,-6.015,4.073,4.037,-0.036,-123.256,-129.307,-6.051,-129.307,beam
60,4,30,-143.807,-147.344,-3.537,5.219,5.410,0.191,-138.588,-141.935,-3.347,-141.935,beam
60,5,30,-144.972,-148.274,-3.301,6.623,6.707,0.084,-138.350,-141.567,-3.217,-141.567,beam
60,6,30,-140.665,-142.502,-1.838,7.217,7.359,0.141,-133.448,-135.144,-1.696,-135.144,beam
60,8,30,-121.709,-121.840,-0.132,8.144,8.122,-0.022,-113.565,-113.718,-0.153,-113.718,beam
80,1,30,-60.313,-61.905,-1.592,0.000,0.000,0.000,-60.313,-61.905,-1.592,-61.905,beam
80,2,30,-103.104,-108.545,-5.442,3.060,2.889,-0.171,-100.044,-105.656,-5.612,-105.656,beam
80,3,30,-147.929,-157.563,-9.634,5.104,5.359,0.256,-142.825,-152.204,-9.378,-152.204,beam
80,4,30,-173.675,-178.456,-4.781,6.950,6.979,0.028,-166.725,-171.477,-4.752,-171.477,beam
80,5,30,-175.680,-179.732,-4.053,8.087,8.273,0.186,-167.593,-171.460,-3.867,-171.460,beam
80,6,30,-169.169,-173.218,-4.049,9.120,9.225,0.105,-160.049,-163.993,-3.944,-163.993,beam
80,8,30,-143.111,-143.764,-0.653,9.547,9.603,0.056,-133.563,-134.160,-0.597,-134.160,beam
100,1,30,-68.134,-69.310,-1.176,0.000,0.000,0.000,-68.134,-69.310,-1.176,-69.310,beam
100,2,30,-114.442,-120.463,-6.021,3.098,3.226,0.129,-111.344,-117.236,-5.892,-117.236,beam
100,3,30,-176.067,-183.466,-7.399,6.324,6.389,0.065,-169.743,-177.077,-7.333,-177.077,beam
100,4,30,-204.186,-207.139,-2.953,8.396,8.586,0.190,-195.790,-198.554,-2.763,-198.554,beam
100,5,30,-203.843,-207.536,-3.693,10.063,10.330,0.267,-193.780,-197.206,-3.426,-197.206,beam
100,6,30,-198.417,-200.152,-1.735,11.206,11.295,0.089,-187.211,-188.857,-1.646,-188.857,beam
100,8,30,-168.176,-169.783,-1.607,11.588,11.601,0.013,-156.588,-158.182,-1.595,-158.182,beam
120,1,30,-74.841,-75.618,-0.776,0.000,0.000,0.000,-74.841,-75.618,-0.776,-75.618,beam
120,2,30,-129.574,-132.403,-2.829,3.806,3.733,-0.072,-125.769,-128.670,-2.901,-128.670,beam
120,3,30,-197.052,-204.314,-7.262,6.595,6.986,0.391,-190.457,-197.328,-6.871,-197.328,beam
120,4,30,-230.047,-235.937,-5.890,9.426,9.717,0.291,-220.621,-226.220,-5.599,-226.220,beam
120,5,30,-236.969,-243.057,-6.088,11.606,11.868,0.262,-225.363,-231.189,-5.825,-231.189,beam
120,6,30,-228.359,-232.699,-4.340,12.982,13.195,0.213,-215.377,-219.504,-4.128,-219.504,beam
120,8,30,-191.575,-193.113,-1.539,13.684,13.762,0.078,-177.891,-179.352,-1.461,-179.352,beam
150,1,30,-78.029,-80.544,-2.514,0.000,0.000,0.000,-78.029,-80.544,-2.514,-80.544,beam
150,2,30,-139.706,-142.992,-3.286,4.211,4.011,-0.200,-135.495,-138.981,-3.486,-138.981,beam
150,3,30,-230.186,-234.017,-3.831,8.372,8.136,-0.235,-221.814,-225.880,-4.067,-225.880,beam
150,4,30,-263.197,-270.484,-7.287,11.069,11.327,0.258,-252.129,-259.158,-7.029,-259.158,beam
150,5,30,-272.669,-276.933,-4.264,13.336,13.382,0.047,-259.333,-263.551,-4.217,-263.551,beam
150,6,30,-259.159,-262.102,-2.943,14.536,14.695,0.159,-244.623,-247.407,-2.785,-247.407,beam
150,8,30,-225.153,-228.471,-3.318,16.222,16.359,0.137,-208.931,-212.111,-3.181,-212.111,beam
200,1,30,-83.888,-86.079,-2.190,0.000,0.000,0.000,-83.888,-86.079,-2.190,-86.079,beam
200,2,30,-165.159,-156.025,9.134,4.907,5.799,0.892,-160.252,-150.226,10.026,-160.252,greedy
