   M  K |    gRoute   bRoute  dRoute |   gPen   bPen   dPen |    gFINAL    bFINAL  dFINAL | aug
-----------------------------------------------------------------------------------------------
  50  1 |    -44.33   -45.22   -0.89 |   0.00   0.00   0.00 |    -44.33    -45.22   -0.89 | beam
  50  2 |    -87.08   -89.94   -2.86 |   1.70   1.64  -0.06 |    -85.37    -88.30   -2.93 | beam
  50  3 |   -114.57  -118.59   -4.02 |   3.57   3.56  -0.01 |   -111.00   -115.03   -4.03 | beam
  50  4 |   -128.36  -133.48   -5.13 |   4.65   4.71   0.06 |   -123.70   -128.77   -5.07 | beam
  50  5 |   -130.10  -133.58   -3.48 |   5.50   5.60   0.10 |   -124.60   -127.98   -3.38 | beam
  50  6 |   -124.68  -126.87   -2.19 |   6.08   6.12   0.05 |   -118.60   -120.74   -2.14 | beam
  50  8 |    -98.02   -98.68   -0.66 |   7.09   7.09  -0.00 |    -90.93    -91.59   -0.66 | beam
  60  1 |    -52.04   -53.85   -1.81 |   0.00   0.00   0.00 |    -52.04    -53.85   -1.81 | beam
  60  2 |    -92.13   -98.81   -6.67 |   2.01   2.32   0.31 |    -90.13    -96.48   -6.36 | beam
  60  3 |   -127.33  -133.34   -6.02 |   4.07   4.04  -0.04 |   -123.26   -129.31   -6.05 | beam
  60  4 |   -143.81  -147.34   -3.54 |   5.22   5.41   0.19 |   -138.59   -141.93   -3.35 | beam
  60  5 |   -144.97  -148.27   -3.30 |   6.62   6.71   0.08 |   -138.35   -141.57   -3.22 | beam
  60  6 |   -140.66  -142.50   -1.84 |   7.22   7.36   0.14 |   -133.45   -135.14   -1.70 | beam
  60  8 |   -121.71  -121.84   -0.13 |   8.14   8.12  -0.02 |   -113.56   -113.72   -0.15 | beam
  80  1 |    -60.31   -61.90   -1.59 |   0.00   0.00   0.00 |    -60.31    -61.90   -1.59 | beam
  80  2 |   -103.10  -108.55   -5.44 |   3.06   2.89  -0.17 |   -100.04   -105.66   -5.61 | beam
  80  3 |   -147.93  -157.56   -9.63 |   5.10   5.36   0.26 |   -142.83   -152.20   -9.38 | beam
  80  4 |   -173.67  -178.46   -4.78 |   6.95   6.98   0.03 |   -166.72   -171.48   -4.75 | beam
  80  5 |   -175.68  -179.73   -4.05 |   8.09   8.27   0.19 |   -167.59   -171.46   -3.87 | beam
  80  6 |   -169.17  -173.22   -4.05 |   9.12   9.23   0.11 |   -160.05   -163.99   -3.94 | beam
  80  8 |   -143.11  -143.76   -0.65 |   9.55   9.60   0.06 |   -133.56   -134.16   -0.60 | beam
 100  1 |    -68.13   -69.31   -1.18 |   0.00   0.00   0.00 |    -68.13    -69.31   -1.18 | beam
 100  2 |   -114.44  -120.46   -6.02 |   3.10   3.23   0.13 |   -111.34   -117.24   -5.89 | beam
 100  3 |   -176.07  -183.47   -7.40 |   6.32   6.39   0.07 |   -169.74   -177.08   -7.33 | beam
 100  4 |   -204.19  -207.14   -2.95 |   8.40   8.59   0.19 |   -195.79   -198.55   -2.76 | beam
 100  5 |   -203.84  -207.54   -3.69 |  10.06  10.33   0.27 |   -193.78   -197.21   -3.43 | beam
