POST-HOC TEMPORAL DECONFLICTION on BEAM-AUGMENTED routing — final collision-avoided objective
delta=25.0m, common-t=0 AoI penalty = theta1*sum(o_k*W_total_k), theta1=0.01
routing = BEAM+pp fleet_objective (compare vs greedy deconflict_table.txt, SAME instances).  FINAL = routing + deconfliction penalty.
lower = better.  +/- = std over seeds.
========================================================================================================
   M  K      routing(BEAM+pp)       penalty   pen%  makespan_s   FINAL(deconflicted)  conf
--------------------------------------------------------------------------------------------------------
  50  1       -45.22+-0.55       0.00+-0.0   0.0%         0.0       -45.22+-0.55       0
  50  2       -89.94+-0.71       1.64+-0.2   1.8%         1.8       -88.30+-0.80       0
  50  3      -118.59+-2.56       3.56+-0.3   3.0%         3.9      -115.03+-2.25       0
  50  4      -133.48+-6.28       4.71+-0.3   3.5%         6.0      -128.77+-5.95       0
  50  5      -133.58+-0.89       5.60+-0.2   4.2%         7.5      -127.98+-1.01       0
  50  6      -126.87+-2.18       6.12+-0.1   4.8%         9.4      -120.74+-2.22       0
  50  8       -98.68+-0.64       7.09+-0.2   7.2%        13.3       -91.59+-0.80       0
  60  1       -53.85+-2.30       0.00+-0.0   0.0%         0.0       -53.85+-2.30       0
  60  2       -98.81+-3.32       2.32+-0.5   2.4%         2.1       -96.48+-3.75       0
  60  3      -133.34+-2.07       4.04+-0.2   3.0%         4.0      -129.31+-1.94       0
  60  4      -147.34+-3.54       5.41+-0.1   3.7%         5.8      -141.93+-3.57       0
  60  5      -148.27+-3.14       6.71+-0.4   4.5%         7.4      -141.57+-2.78       0
  60  6      -142.50+-1.04       7.36+-0.1   5.2%         9.9      -135.14+-1.10       0
  60  8      -121.84+-3.09       8.12+-0.2   6.7%        16.5      -113.72+-3.25       0
  80  1       -61.90+-1.38       0.00+-0.0   0.0%         0.0       -61.90+-1.38       0
  80  2      -108.55+-5.62       2.89+-0.3   2.7%         2.1      -105.66+-5.43       0
  80  3      -157.56+-2.32       5.36+-0.2   3.4%         3.9      -152.20+-2.29       0
  80  4      -178.46+-2.06       6.98+-0.1   3.9%         5.7      -171.48+-2.00       0
  80  5      -179.73+-0.67       8.27+-0.1   4.6%         7.4      -171.46+-0.75       0
  80  6      -173.22+-0.87       9.23+-0.1   5.3%         9.6      -163.99+-0.93       0
  80  8      -143.76+-0.62       9.60+-0.1   6.7%        14.3      -134.16+-0.53       0
 100  1       -69.31+-1.23       0.00+-0.0   0.0%         0.0       -69.31+-1.23       0
 100  2      -120.46+-2.87       3.23+-0.6   2.7%         1.9      -117.24+-2.84       0
 100  3      -183.47+-2.13       6.39+-0.4   3.5%         4.0      -177.08+-2.11       0
 100  4      -207.14+-2.36       8.59+-0.1   4.1%         5.6      -198.55+-2.24       0
 100  5      -207.54+-1.05      10.33+-0.0   5.0%         7.5      -197.21+-1.03       0
 100  6      -200.15+-5.39      11.30+-0.3   5.6%         9.3      -188.86+-5.15       0
 100  8      -169.78+-2.12      11.60+-0.3   6.8%        14.5      -158.18+-2.40       0
 120  1       -75.62+-1.82       0.00+-0.0   0.0%         0.0       -75.62+-1.82       0
 120  2      -132.40+-2.07       3.73+-0.4   2.8%         1.9      -128.67+-2.40       0
 120  3      -204.31+-6.56       6.99+-0.2   3.4%         3.9      -197.33+-6.43       0
 120  4      -235.94+-9.77       9.72+-0.2   4.1%         5.5      -226.22+-9.61       0
 120  5      -243.06+-4.06      11.87+-0.5   4.9%         7.5      -231.19+-3.62       0
 120  6      -232.70+-1.16      13.19+-0.1   5.7%         9.3      -219.50+-1.10       0
 120  8      -193.11+-5.42      13.76+-1.0   7.1%        13.8      -179.35+-4.41       0
 150  1       -80.54+-5.92       0.00+-0.0   0.0%         0.0       -80.54+-5.92       0
 150  2      -142.99+-4.10       4.01+-0.4   2.8%         1.9      -138.98+-4.47       0
 150  3      -234.02+-3.39       8.14+-0.3   3.5%         3.6      -225.88+-3.64       0
 150  4      -270.48+-2.32      11.33+-0.1   4.2%         5.7      -259.16+-2.34       0
 150  5      -276.93+-2.02      13.38+-0.1   4.8%         7.4      -263.55+-2.16       0
 150  6      -262.10+-1.48      14.69+-0.1   5.6%         9.4      -247.41+-1.40       0
 150  8      -228.47+-2.20      16.36+-0.5   7.2%        13.8      -212.11+-1.96       0
 200  1       -86.08+-6.64       0.00+-0.0   0.0%         0.0       -86.08+-6.64       0
 200  2      -156.02+-3.85       5.80+-0.7   3.7%         2.2      -150.23+-3.18       0
 200  3      -277.45+-5.78      10.25+-0.3   3.7%         3.9      -267.20+-5.48       0
 200  4      -324.06+-3.96      13.77+-0.5   4.3%         5.7      -310.28+-3.52       0
 200  5      -329.74+-2.31      16.46+-0.2   5.0%         7.5      -313.28+-2.12       0
 200  6      -319.26+-2.06      17.98+-0.3   5.6%         9.4      -301.29+-1.83       0
 200  8      -276.28+-2.02      20.33+-0.5   7.4%        13.9      -255.95+-1.66       0
--------------------------------------------------------------------------------------------------------
