M,K,n_seeds,instances,routing_mean,routing_std,penalty_mean,penalty_std,penalty_pct,makespan_mean,final_mean,final_std,conflicts_left,final_seed0,final_seed1,final_seed2
50,1,3,30,-44.32504130045572,0.8095817884515008,0.0,0.0,0.0,0.0,-44.32504130045572,0.8095817884515008,0,-43.677,-45.233,-44.066
50,2,3,30,-87.0754111328125,0.3684413618777132,1.701231947458903,0.10900292184748929,1.9537455239391115,1.8359999999999994,-85.37417918535357,0.47363602663105336,0,-85.363,-84.906,-85.853
50,3,3,30,-114.56852627224391,2.788634702109369,3.5707627491675478,0.2656853595838504,3.1167047926256015,4.128499999999999,-110.99776352307636,2.5241966100850752,0,-110.940,-113.550,-108.503
50,4,3,30,-128.3564767489963,5.042661378067585,4.653442567746904,0.3420271787350282,3.625405344248273,5.8761,-123.70303418124941,4.7085145050279955,0,-128.122,-118.751,-124.236
50,5,3,30,-130.100114976671,0.7677807165613533,5.500931779179574,0.11863056763688777,4.22822975995523,7.515277777777779,-124.59918319749141,0.8832803472560138,0,-123.609,-125.306,-124.882
50,6,3,30,-124.67694048224554,2.04182981654093,6.075996594159496,0.05921332620104956,4.873392441824268,9.527788888888887,-118.60094388808604,2.088567439257368,0,-119.873,-116.191,-119.739
50,8,3,30,-98.02196597968207,0.6713147959166307,7.093716981162918,0.1735809138341299,7.236864625458848,13.569744444444444,-90.92824899851915,0.8189138485017741,0,-91.503,-91.292,-89.991
60,1,3,30,-52.04016782294379,1.952718574732702,0.0,0.0,0.0,0.0,-52.04016782294379,1.952718574732702,0,-50.560,-51.308,-54.253
60,2,3,30,-92.13429332139758,0.8593730187398831,2.0091468520732456,0.2681955097557817,2.180672125051872,1.947666666666666,-90.12514646932432,1.078936245968093,0,-90.846,-90.644,-88.885
60,3,3,30,-127.32938838704428,1.2653264831281483,4.0730471907149415,0.25227855361358326,3.1988272639259554,4.193499999999999,-123.25634119632933,1.0263213166315028,0,-123.484,-124.150,-122.135
60,4,3,30,-143.80671158854167,2.2155650491572136,5.218753721517775,0.14893320190607298,3.62900567287125,5.6743999999999994,-138.5879578670239,2.287245893622389,0,-140.254,-135.980,-139.530
60,5,3,30,-144.97235948350695,1.4780835895113746,6.622569631317563,0.3959192916159732,4.568160203028904,7.550233333333334,-138.34978985218936,1.0857511651185159,0,-139.204,-137.128,-138.718
60,6,3,30,-140.66474652777777,0.7012313938190243,7.21720667342133,0.17731980680271425,5.130785681255333,9.977555555555552,-133.44753985435645,0.7828536287893578,0,-133.185,-132.829,-134.328
60,8,3,30,-121.70858922322589,3.090585050544645,8.14387522780556,0.17396952352736092,6.6912904666644915,16.65014444444444,-113.56471399542035,3.2228202256976846,0,-109.847,-115.563,-115.284
