POST-HOC TEMPORAL DECONFLICTION — final collision-avoided objective
delta=25.0m, common-t=0 AoI penalty = theta1*sum(o_k*W_total_k), theta1=0.01
routing = MLP+pp fleet_objective (what bounds compare to).  FINAL = routing + deconfliction penalty.
lower = better.  +/- = std over seeds.
========================================================================================================
   M  K       routing(MLP+pp)       penalty   pen%  makespan_s   FINAL(deconflicted)  conf
--------------------------------------------------------------------------------------------------------
  50  1       -44.33+-0.81       0.00+-0.0   0.0%         0.0       -44.33+-0.81       0
  50  2       -87.08+-0.37       1.70+-0.1   2.0%         1.8       -85.37+-0.47       0
  50  3      -114.57+-2.79       3.57+-0.3   3.1%         4.1      -111.00+-2.52       0
  50  4      -128.36+-5.04       4.65+-0.3   3.6%         5.9      -123.70+-4.71       0
  50  5      -130.10+-0.77       5.50+-0.1   4.2%         7.5      -124.60+-0.88       0
  50  6      -124.68+-2.04       6.08+-0.1   4.9%         9.5      -118.60+-2.09       0
  50  8       -98.02+-0.67       7.09+-0.2   7.2%        13.6       -90.93+-0.82       0
  60  1       -52.04+-1.95       0.00+-0.0   0.0%         0.0       -52.04+-1.95       0
  60  2       -92.13+-0.86       2.01+-0.3   2.2%         1.9       -90.13+-1.08       0
  60  3      -127.33+-1.27       4.07+-0.3   3.2%         4.2      -123.26+-1.03       0
  60  4      -143.81+-2.22       5.22+-0.1   3.6%         5.7      -138.59+-2.29       0
  60  5      -144.97+-1.48       6.62+-0.4   4.6%         7.6      -138.35+-1.09       0
  60  6      -140.66+-0.70       7.22+-0.2   5.1%        10.0      -133.45+-0.78       0
  60  8      -121.71+-3.09       8.14+-0.2   6.7%        16.7      -113.56+-3.22       0
  80  1       -60.31+-3.38       0.00+-0.0   0.0%         0.0       -60.31+-3.38       0
  80  2      -103.10+-5.46       3.06+-0.1   3.0%         2.2      -100.04+-5.50       0
  80  3      -147.93+-2.68       5.10+-0.2   3.5%         4.0      -142.83+-2.57       0
  80  4      -173.67+-2.86       6.95+-0.1   4.0%         5.8      -166.72+-2.96       0
  80  5      -175.68+-2.35       8.09+-0.2   4.6%         7.5      -167.59+-2.19       0
  80  6      -169.17+-1.48       9.12+-0.1   5.4%         9.6      -160.05+-1.56       0
  80  8      -143.11+-0.62       9.55+-0.2   6.7%        14.3      -133.56+-0.46       0
 100  1       -68.13+-2.43       0.00+-0.0   0.0%         0.0       -68.13+-2.43       0
 100  2      -114.44+-2.15       3.10+-0.3   2.7%         1.9      -111.34+-1.95       0
 100  3      -176.07+-0.46       6.32+-0.2   3.6%         4.0      -169.74+-0.58       0
 100  4      -204.19+-3.51       8.40+-0.1   4.1%         5.6      -195.79+-3.45       0
 100  5      -203.84+-1.80      10.06+-0.2   4.9%         7.5      -193.78+-1.65       0
 100  6      -198.42+-4.71      11.21+-0.2   5.6%         9.4      -187.21+-4.52       0
 100  8      -168.18+-1.22      11.59+-0.4   6.9%        14.8      -156.59+-1.54       0
 120  1       -74.84+-0.91       0.00+-0.0   0.0%         0.0       -74.84+-0.91       0
 120  2      -129.57+-3.18       3.81+-0.4   2.9%         2.0      -125.77+-2.95       0
 120  3      -197.05+-7.97       6.59+-0.4   3.3%         3.6      -190.46+-7.70       0
 120  4      -230.05+-10.61      9.43+-0.4   4.1%         5.6      -220.62+-10.17      0
 120  5      -236.97+-3.39      11.61+-0.2   4.9%         7.5      -225.36+-3.18       0
 120  6      -228.36+-0.71      12.98+-0.2   5.7%         9.5      -215.38+-0.58       0
 120  8      -191.57+-4.44      13.68+-1.0   7.1%        13.9      -177.89+-3.46       0
 150  1       -78.03+-8.73       0.00+-0.0   0.0%         0.0       -78.03+-8.73       0
 150  2      -139.71+-7.97       4.21+-0.2   3.0%         2.0      -135.49+-7.85       0
 150  3      -230.19+-6.13       8.37+-0.4   3.6%         3.9      -221.81+-6.52       0
 150  4      -263.20+-4.23      11.07+-0.1   4.2%         5.8      -252.13+-4.15       0
 150  5      -272.67+-2.51      13.34+-0.1   4.9%         7.6      -259.33+-2.58       0
 150  6      -259.16+-4.63      14.54+-0.3   5.6%         9.6      -244.62+-4.34       0
 150  8      -225.15+-3.32      16.22+-0.5   7.2%        14.1      -208.93+-3.19       0
 200  1       -83.89+-3.51       0.00+-0.0   0.0%         0.0       -83.89+-3.51       0
 200  2      -165.16+-3.82       4.91+-0.4   3.0%         1.9      -160.25+-4.19       0
 200  3      -275.51+-8.57      10.39+-0.4   3.8%         4.1      -265.12+-8.20       0
 200  4      -315.02+-3.75      13.61+-0.1   4.3%         5.8      -301.42+-3.65       0
 200  5      -327.81+-4.23      16.53+-0.5   5.0%         7.7      -311.28+-3.76       0
 200  6      -310.75+-0.93      17.60+-0.1   5.7%         9.6      -293.15+-0.79       0
 200  8      -273.70+-2.07      20.27+-0.6   7.4%        14.1      -253.43+-1.50       0
--------------------------------------------------------------------------------------------------------
