M,K,Emax_each,method,obj,nodes
50,1,50000.0,Multi-Random,37.54605378112793,14.28
50,1,50000.0,Multi-NearestNeighbor,217.09604230957032,47.95
50,1,50000.0,Multi-GreedyPriority,71.51832755584718,14.325
50,1,50000.0,Multi-PDR,246.5003179962158,41.425
50,2,25000.0,Multi-Random,-27.4122705406189,15.585
50,2,25000.0,Multi-NearestNeighbor,-19.249737225341793,43.855
50,2,25000.0,Multi-GreedyPriority,-30.445956227111818,15.44
50,2,25000.0,Multi-PDR,-5.976104672241207,38.56
50,3,16666.666666666668,Multi-Random,-50.50878399124145,16.17
50,3,16666.666666666668,Multi-NearestNeighbor,-83.07038912353514,40.125
50,3,16666.666666666668,Multi-GreedyPriority,-65.7157160888672,16.54
50,3,16666.666666666668,Multi-PDR,-79.94707437744141,36.82
50,4,12500.0,Multi-Random,-64.07367918510437,17.055
50,4,12500.0,Multi-NearestNeighbor,-105.4157716064453,36.285
50,4,12500.0,Multi-GreedyPriority,-84.61476882171631,17.645
50,4,12500.0,Multi-PDR,-107.09208290100098,34.015
50,5,10000.0,Multi-Random,-73.98575223579407,17.95
50,5,10000.0,Multi-NearestNeighbor,-111.29399771270751,32.46
50,5,10000.0,Multi-GreedyPriority,-96.83188519744874,18.41
50,5,10000.0,Multi-PDR,-115.4100999420166,31.1
50,6,8333.333333333334,Multi-Random,-78.94088962430953,18.27
50,6,8333.333333333334,Multi-NearestNeighbor,-107.36233767547607,28.36
50,6,8333.333333333334,Multi-GreedyPriority,-100.89852270889281,18.695
50,6,8333.333333333334,Multi-PDR,-112.5313275871277,27.415
50,8,6250.0,Multi-Random,-82.63155108823777,18.105
50,8,6250.0,Multi-NearestNeighbor,-90.34278611025809,20.665
50,8,6250.0,Multi-GreedyPriority,-95.7677327041626,18.525
50,8,6250.0,Multi-PDR,-94.07618698883056,20.565
60,1,50000.0,Multi-Random,37.29508341064454,14.425
60,1,50000.0,Multi-NearestNeighbor,245.60209738769532,54.865
60,1,50000.0,Multi-GreedyPriority,69.6380997543335,14.07
60,1,50000.0,Multi-PDR,273.4069425628662,47.25
60,2,25000.0,Multi-Random,-28.259146488952638,15.745
60,2,25000.0,Multi-NearestNeighbor,-22.579279989624016,50.22
60,2,25000.0,Multi-GreedyPriority,-32.366923721313476,15.81
60,2,25000.0,Multi-PDR,-8.596188528442378,44.115
60,3,16666.666666666668,Multi-Random,-52.88362250137328,16.76
60,3,16666.666666666668,Multi-NearestNeighbor,-93.28313439941405,45.735
60,3,16666.666666666668,Multi-GreedyPriority,-69.54415828552246,16.945
60,3,16666.666666666668,Multi-PDR,-90.21201507873535,41.45
60,4,12500.0,Multi-Random,-67.12638177337647,17.855
60,4,12500.0,Multi-NearestNeighbor,-118.10557843322754,41.09
60,4,12500.0,Multi-GreedyPriority,-90.55468183441164,18.375
60,4,12500.0,Multi-PDR,-120.4728038116455,38.535
60,5,10000.0,Multi-Random,-76.46251868991853,18.605
60,5,10000.0,Multi-NearestNeighbor,-123.79466267242431,36.85
60,5,10000.0,Multi-GreedyPriority,-103.25851086273192,19.265
60,5,10000.0,Multi-PDR,-129.70659574279784,34.955
60,6,8333.333333333334,Multi-Random,-81.20314515628816,19.05
60,6,8333.333333333334,Multi-NearestNeighbor,-121.05966433410644,32.455
60,6,8333.333333333334,Multi-GreedyPriority,-110.45226419525149,20.07
60,6,8333.333333333334,Multi-PDR,-126.77402389068602,31.215
60,8,6250.0,Multi-Random,-87.90821346940993,19.435
60,8,6250.0,Multi-NearestNeighbor,-101.16434915776252,23.89
60,8,6250.0,Multi-GreedyPriority,-105.20622991523742,20.005
60,8,6250.0,Multi-PDR,-106.03601240615845,23.645
80,1,50000.0,Multi-Random,33.15424407119751,14.68
80,1,50000.0,Multi-NearestNeighbor,292.80518082885743,66.065
80,1,50000.0,Multi-GreedyPriority,71.01604217987061,14.635
80,1,50000.0,Multi-PDR,317.0526797241211,56.265
80,2,25000.0,Multi-Random,-30.35992118377685,16.26
80,2,25000.0,Multi-NearestNeighbor,-24.536236834716792,60.75
80,2,25000.0,Multi-GreedyPriority,-38.604715838623044,16.39
80,2,25000.0,Multi-PDR,-14.230473294067377,52.835
80,3,16666.666666666668,Multi-Random,-55.44240249862671,17.45
80,3,16666.666666666668,Multi-NearestNeighbor,-112.97797409667969,55.225
80,3,16666.666666666668,Multi-GreedyPriority,-78.65703353729248,18.06
80,3,16666.666666666668,Multi-PDR,-110.2569282623291,49.535
80,4,12500.0,Multi-Random,-70.72130623664856,18.805
80,4,12500.0,Multi-NearestNeighbor,-144.50717169189454,50.21
