M,Emax,K,Ee,N_meas,N_std,N_pred,eta,obj,instances
50,50000,1,50000.0,16.375,2.288,46.785,0.35,-60.394,8
50,50000,2,25000.0,32.25,2.278,46.092,0.6997,-107.467,8
50,50000,3,16666.7,39.0,3.5,45.398,0.8591,-138.771,8
50,50000,4,12500.0,37.75,2.817,44.705,0.8444,-151.417,8
50,50000,5,10000.0,32.75,2.773,44.012,0.7441,-153.728,8
50,50000,6,8333.3,28.75,1.714,43.319,0.6637,-143.045,8
100,50000,1,50000.0,25.0,1.414,66.878,0.3738,-87.539,8
100,50000,2,25000.0,45.0,2.872,65.613,0.6858,-155.431,8
100,50000,3,16666.7,60.375,4.973,64.348,0.9383,-214.269,8
100,50000,4,12500.0,51.25,3.455,63.084,0.8124,-229.314,8
100,50000,5,10000.0,44.75,5.695,61.819,0.7239,-220.658,8
100,50000,6,8333.3,42.25,4.409,60.554,0.6977,-215.901,8
200,50000,1,50000.0,34.125,3.621,84.621,0.4033,-122.964,8
200,50000,2,25000.0,66.5,4.61,83.742,0.7941,-223.654,8
200,50000,3,16666.7,84.625,4.121,82.863,1.0213,-312.331,8
200,50000,4,12500.0,72.5,6.801,81.984,0.8843,-350.454,8
200,50000,5,10000.0,64.75,5.117,81.105,0.7983,-346.682,8
200,50000,6,8333.3,55.625,8.572,80.226,0.6934,-320.267,8
