M,Emax,K,Ee,N_meas,N_std,N_pred,eta,obj,instances
50,25000,1,25000.0,16.417,1.754,23.046,0.7123,-59.811,12
50,25000,2,12500.0,22.0,2.449,22.353,0.9842,-96.099,12
50,25000,3,8333.3,16.917,2.253,21.659,0.781,-88.055,12
50,25000,4,6250.0,15.833,1.572,20.966,0.7552,-82.279,12
50,25000,5,5000.0,13.417,2.1,20.273,0.6618,-70.831,12
50,25000,6,4166.7,11.0,2.041,19.58,0.5618,-57.257,12
50,25000,7,3571.4,9.083,1.801,18.887,0.4809,-47.731,12
50,25000,8,3125.0,6.25,1.738,18.194,0.3435,-32.072,12
100,25000,1,25000.0,25.583,1.754,32.807,0.7798,-89.556,12
100,25000,2,12500.0,28.917,3.818,31.542,0.9168,-135.676,12
100,25000,3,8333.3,24.0,2.517,30.277,0.7927,-132.124,12
100,25000,4,6250.0,22.333,2.981,29.012,0.7698,-123.976,12
100,25000,5,5000.0,19.833,2.703,27.748,0.7148,-107.423,12
100,25000,6,4166.7,16.583,2.216,26.483,0.6262,-91.138,12
100,25000,7,3571.4,14.667,1.972,25.218,0.5816,-77.127,12
100,25000,8,3125.0,11.167,1.462,23.953,0.4662,-58.763,12
200,25000,1,25000.0,34.25,3.244,41.871,0.818,-124.03,12
200,25000,2,12500.0,37.167,7.267,40.992,0.9067,-190.243,12
200,25000,3,8333.3,30.25,6.043,40.113,0.7541,-184.835,12
200,25000,4,6250.0,28.083,3.57,39.234,0.7158,-176.407,12
200,25000,5,5000.0,27.083,2.929,38.355,0.7061,-165.545,12
200,25000,6,4166.7,25.0,2.887,37.476,0.6671,-147.931,12
200,25000,7,3571.4,22.333,1.929,36.597,0.6102,-131.807,12
200,25000,8,3125.0,19.417,2.871,35.718,0.5436,-111.162,12
