M,Emax,K,Ee,N_meas,N_std,N_pred,eta,obj,instances
50,25000,1,25000.0,16.375,2.288,23.046,0.7105,-60.761,8
50,25000,2,12500.0,21.875,1.965,22.353,0.9786,-97.054,8
50,25000,3,8333.3,17.125,1.965,21.659,0.7906,-88.483,8
50,25000,4,6250.0,15.125,1.269,20.966,0.7214,-82.179,8
50,25000,5,5000.0,12.25,2.107,20.273,0.6042,-67.24,8
50,25000,6,4166.7,10.375,2.342,19.58,0.5299,-56.57,8
50,25000,7,3571.4,9.375,1.867,18.887,0.4964,-51.125,8
50,25000,8,3125.0,6.75,1.854,18.194,0.371,-35.745,8
50,25000,9,2777.8,5.25,1.639,17.5,0.3,-27.504,8
50,25000,10,2500.0,3.25,1.299,16.807,0.1934,-15.722,8
50,100000,1,100000.0,16.375,2.288,50.0,0.3275,-60.394,8
50,100000,2,50000.0,32.5,2.0,50.0,0.65,-106.657,8
50,100000,3,33333.3,42.125,3.887,50.0,0.8425,-139.118,8
50,100000,4,25000.0,47.5,2.0,50.0,0.95,-166.116,8
50,100000,5,20000.0,49.625,0.992,50.0,0.9925,-182.218,8
50,100000,6,16666.7,49.5,1.0,50.0,0.99,-190.192,8
50,100000,7,14285.7,49.375,1.111,50.0,0.9875,-198.844,8
50,100000,8,12500.0,49.0,1.0,50.0,0.98,-203.796,8
50,100000,9,11111.1,48.0,1.225,50.0,0.96,-206.537,8
50,100000,10,10000.0,46.125,1.833,50.0,0.9225,-204.524,8
100,25000,1,25000.0,25.0,1.414,32.807,0.762,-87.539,8
100,25000,2,12500.0,27.5,3.742,31.542,0.8719,-131.526,8
100,25000,3,8333.3,22.75,2.947,30.277,0.7514,-128.657,8
100,25000,4,6250.0,21.25,3.597,29.012,0.7324,-119.465,8
100,25000,5,5000.0,19.375,2.736,27.748,0.6983,-102.566,8
100,25000,6,4166.7,16.5,1.803,26.483,0.623,-88.509,8
100,25000,7,3571.4,14.625,1.798,25.218,0.5799,-76.259,8
100,25000,8,3125.0,11.0,1.414,23.953,0.4592,-57.917,8
100,25000,9,2777.8,8.875,1.9,22.689,0.3912,-46.425,8
100,25000,10,2500.0,6.75,0.968,21.424,0.3151,-34.18,8
100,100000,1,100000.0,25.0,1.414,100.0,0.25,-87.539,8
100,100000,2,50000.0,45.0,2.872,100.0,0.45,-155.431,8
100,100000,3,33333.3,64.375,4.414,100.0,0.6438,-216.384,8
100,100000,4,25000.0,81.125,3.516,100.0,0.8113,-263.154,8
100,100000,5,20000.0,92.75,3.419,100.0,0.9275,-298.673,8
100,100000,6,16666.7,94.0,2.0,100.0,0.94,-329.408,8
100,100000,7,14285.7,91.375,4.498,100.0,0.9137,-348.312,8
100,100000,8,12500.0,86.0,5.5,100.0,0.86,-353.81,8
100,100000,9,11111.1,81.625,5.499,100.0,0.8163,-358.515,8
100,100000,10,10000.0,77.25,5.449,100.0,0.7725,-353.44,8
200,25000,1,25000.0,34.125,3.621,41.871,0.815,-122.964,8
200,25000,2,12500.0,37.5,6.042,40.992,0.9148,-189.372,8
200,25000,3,8333.3,29.875,5.925,40.113,0.7448,-182.115,8
200,25000,4,6250.0,28.0,3.708,39.234,0.7137,-173.32,8
200,25000,5,5000.0,25.75,2.681,38.355,0.6714,-156.272,8
200,25000,6,4166.7,24.625,2.736,37.476,0.6571,-144.014,8
200,25000,7,3571.4,22.0,1.936,36.597,0.6011,-128.945,8
200,25000,8,3125.0,18.25,1.392,35.718,0.5109,-106.799,8
200,25000,9,2777.8,15.875,1.691,34.84,0.4557,-93.608,8
200,25000,10,2500.0,13.375,1.576,33.961,0.3938,-77.68,8
200,100000,1,100000.0,34.125,3.621,170.121,0.2006,-122.964,8
200,100000,2,50000.0,66.375,4.526,169.242,0.3922,-223.655,8
200,100000,3,33333.3,96.125,4.594,168.363,0.5709,-317.417,8
200,100000,4,25000.0,122.875,5.254,167.484,0.7337,-409.329,8
200,100000,5,20000.0,147.25,3.269,166.605,0.8838,-482.882,8
200,100000,6,16666.7,156.25,5.19,165.726,0.9428,-540.088,8
200,100000,7,14285.7,147.625,9.617,164.847,0.8955,-572.277,8
200,100000,8,12500.0,132.125,8.358,163.968,0.8058,-572.199,8
200,100000,9,11111.1,122.375,8.154,163.09,0.7504,-571.939,8
200,100000,10,10000.0,110.75,8.885,162.211,0.6828,-550.879,8
