layout,M,Emax,K,seed,coord,replan,divert,q,belief,tau,planner,L,Th,J,n_diverts,J_age,J_event,n_replans,n_never,share_never,n_reach_inf,K_reach_i,K_commute_i,r_max,r_c,rmax_over_rc,regime_bnd,P_bar,dup_frac,trunc_frac,empty_frac,T_s_over_t_c,mean_n,catch_rate,T_rev,n_sorties,secs,alloc
core,100,1500000.0,2,1,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,748536.9397907697,0,667764.6793959829,80772.26039478688,0,0,0.0,0,5.478029860560422,26.637184083377974,6968.561876837692,742.3207509443812,9.387534792705553,2.022926381817588,313.9135147855268,0.0,0.19736842105263158,0.0,2.341023668090236,35.910714285714285,0.9230769230769231,1604.4126034558371,56,37.22686505317688,reserve_far
core,100,1500000.0,3,2,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,385970.7410234433,0,346156.7144850851,39814.02653835819,0,0,0.0,0,6.024642709207431,25.986672297008962,6306.0645414764385,763.5962863181159,8.258375079170197,2.015791056056634,309.54944086939537,0.0,0.319672131147541,0.0,2.232643015621123,35.24444444444445,0.9414414414414415,1041.1322801318981,90,65.86774969100952,reserve_far
core,100,1500000.0,3,1,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,376018.76484815136,0,345037.4555956552,30981.309252496158,0,0,0.0,0,5.478029860560422,31.658752173613316,6968.561876837692,626.9677055916659,11.11470625151498,2.0152133278352067,309.19743030427054,0.0,0.3389830508474576,0.0,2.3260826703264277,37.46590909090909,0.9411764705882353,1012.98547480548,88,70.20001220703125,reserve_far
core,100,1500000.0,4,2,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,267229.2804056013,0,248109.79264592726,19119.487759674066,0,0,0.0,0,6.024642709207431,29.530832870934677,6306.0645414764385,673.25705692839,9.366503442602864,2.011886059137292,307.1740190029197,0.0,0.16042780748663102,0.0,1.9362439735030268,31.32857142857143,0.9592760180995475,751.2564541710639,140,90.18282961845398,reserve_far
core,100,1500000.0,4,1,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,257792.8500775674,0,245178.6028967502,12614.247180817178,0,0,0.0,0,5.478029860560422,39.56661485215074,6968.561876837692,502.64031252272434,13.863913624163688,2.0112857613839656,306.80966735338427,0.0,0.125,0.0,1.964988625793829,32.38405797101449,0.9672131147540983,743.5849844962188,138,93.9978392124176,reserve_far
core,100,1500000.0,5,1,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,206178.13709062233,0,194891.69707997845,11286.440010643848,0,0,0.0,0,5.478029860560422,32.86221447305194,6968.561876837692,605.7873463271453,11.503313694298322,2.0092915972662184,305.6008584936583,0.0,0.05434782608695652,0.0,1.6262187972757036,26.795121951219514,0.9836065573770492,599.6105362985185,205,114.47159004211426,reserve_far
core,100,1500000.0,5,2,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,206300.79722604871,0,195656.9553198025,10643.84190624622,0,0,0.0,0,6.024642709207431,31.70665699289901,6306.0645414764385,627.7824346935486,10.044984046988729,2.009557220732196,305.7617345797549,0.0,0.025179856115107913,0.0,1.6162855785749157,26.39903846153846,0.9457013574660633,601.1326014053935,208,120.07810139656067,reserve_far
core,100,1500000.0,2,3,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,699779.7629797322,0,583260.1775452337,116519.58543449845,0,0,0.0,0,4.940884818166719,26.1263981876343,7762.382610686937,757.5765463602006,10.246334377669873,2.0209423681648957,312.6969957342435,0.0,0.21428571428571427,0.0,2.616477570923423,38.01923076923077,0.8888888888888888,1755.4483839447803,52,38.97236394882202,reserve_far
core,100,1500000.0,6,2,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,170650.53077959418,0,161925.0501650119,8725.480614582291,0,0,0.0,0,6.024642709207431,28.833302616909307,6306.0645414764385,690.8085029281099,9.128527681328627,2.0082044575328295,304.9428684567201,0.0,0.017676767676767676,0.0,1.361362466946225,22.2135593220339,0.9547511312217195,502.00138198096886,295,139.21771335601807,reserve_far
core,100,1500000.0,6,1,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,171118.88312729305,0,161763.74398287715,9355.139144415925,0,0,0.0,1,5.478029860560422,34.539739017624086,6968.561876837692,576.7890679272956,12.081646938766323,2.007816038882492,304.707950468639,0.0,0.03258145363408521,0.0,1.35519542829111,22.842809364548494,0.9890710382513661,482.19632154087225,299,140.87991309165955,reserve_far
core,100,1500000.0,7,1,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,157194.62698109195,0,144864.33814644522,12330.288834646728,0,0,0.0,1,5.478029860560422,34.79726462082804,6968.561876837692,572.7997397209258,12.165790927616081,2.006836880061673,304.11615091569735,0.0,0.038461538461538464,0.0,1.1493694725834012,18.91931540342298,0.9835164835164835,422.8262468605057,409,159.47244310379028,reserve_far
core,100,1500000.0,3,3,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,371049.8004432455,0,335082.8610304289,35966.93941281658,0,0,0.0,0,4.940884818166719,25.054180331130134,7762.382610686937,792.6885292757502,9.792475006266503,2.0140823267827495,308.50888964793444,0.0,0.2972972972972973,0.0,2.425758131537246,37.68674698795181,0.961352657004831,1040.929263686757,83,64.4325270652771,reserve_far
core,100,1500000.0,8,1,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,131379.4272058874,0,126530.4500692692,4848.977136618214,0,0,0.0,1,5.478029860560422,31.366381380237364,6968.561876837692,635.6598670675332,10.96272116247563,2.006184080629522,303.7219212336828,0.0,0.041666666666666664,0.0,0.9964687424766691,16.483333333333334,0.989010989010989,368.3418452902352,540,185.1699378490448,reserve_far
core,100,1500000.0,7,2,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,147330.38748593006,0,140684.7524546704,6645.635031259654,0,0,0.0,1,6.024642709207431,28.43201762456769,6306.0645414764385,700.9173540673328,8.996873176107227,2.007176200446237,304.3211696235954,0.0,0.018484288354898338,0.0,1.1601403221324533,19.05432098765432,0.9592760180995475,424.8752950352782,405,156.32536268234253,reserve_far
core,100,1500000.0,9,1,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,115724.03684674954,0,112432.06876795729,3291.968078792256,0,0,0.0,1,5.478029860560422,33.859192056195006,6968.561876837692,589.0516616241686,11.830137033521908,2.0055339357757136,303.3295487989789,0.0,0.024864864864864864,0.0,0.8711184232855416,14.609510086455332,0.989010989010989,323.24516406795453,694,205.52418756484985,reserve_far
core,100,1500000.0,4,3,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,255145.4750414224,0,238070.46141001536,17075.01363140703,0,0,0.0,0,4.940884818166719,36.32103287102071,7762.382610686937,547.7992877509529,14.170121765868315,2.010390104458115,306.2664489560643,0.0,0.07734806629834254,0.0,2.001167223310731,32.614814814814814,0.9808612440191388,754.0212681887291,135,92.13849258422852,reserve_far
core,100,1500000.0,2,4,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,748994.0934813663,0,614170.9093899054,134823.184091461,0,0,0.0,0,5.351491471317767,26.940394472933452,7141.218427495743,734.3467819090358,9.724585990465103,2.021877525133985,313.27010291218744,0.0,0.1891891891891892,0.0,2.3957679912366983,35.236363636363635,0.9182692307692307,1694.481221936578,55,41.422560691833496,reserve_far
core,100,1500000.0,5,3,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,217827.65383896502,0,203660.322001044,14167.33183792102,0,0,0.0,1,4.940884818166719,23.875314507605108,7762.382610686937,834.0207382866697,9.307181769404457,2.00878769967444,305.29578690433453,0.0,0.03237410071942446,0.0,1.6179213106551247,24.278846153846153,0.9806763285024155,648.5718254534582,208,102.96947002410889,reserve_far
core,100,1500000.0,8,2,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200.0,129565.10888853291,0,123984.48644499916,5580.622443533753,0,0,0.0,1,6.024642709207431,28.787140134758477,6306.0645414764385,692.5400545612025,9.105703706151695,2.0063956268695926,303.84964733467206,0.0,0.02244039270687237,0.0,1.0065245802697118,16.492537313432837,0.9683257918552036,372.373570262161,536,180.17317724227905,reserve_far
