M,K,instances,greedy_routing,beam_routing,d_routing,greedy_penalty,beam_penalty,d_penalty,greedy_final,beam_final,d_final,augmented_final,augmented_method
100,1,100,-61.9965075378418,-61.9965075378418,0.0,0.0,0.0,0.0,-61.9965075378418,-61.9965075378418,0.0,-61.9965075378418,greedy+deconflict
100,2,100,-56.98072430725099,-56.98072430725099,0.0,0.7239962429891587,0.7239962429891587,0.0,-56.25672806426182,-56.25672806426182,0.0,-56.25672806426182,greedy+deconflict
100,3,100,-45.8037823337555,-45.8037823337555,0.0,1.1284763587674618,1.1284763587674618,0.0,-44.675305974988035,-44.675305974988035,0.0,-44.675305974988035,greedy+deconflict
100,4,100,-37.7423288921833,-37.7423288921833,0.0,1.486238269949961,1.486238269949961,0.0,-36.256090622233344,-36.256090622233344,0.0,-36.256090622233344,greedy+deconflict
100,5,100,-28.703206550222635,-28.703206550222635,0.0,1.4068629179586174,1.4068629179586174,0.0,-27.29634363226402,-27.29634363226402,0.0,-27.29634363226402,greedy+deconflict
100,6,100,-20.751606404858826,-20.751606404858826,0.0,0.8679383880328416,0.8679383880328416,0.0,-19.883668016825986,-19.883668016825986,0.0,-19.883668016825986,greedy+deconflict
200,1,100,-90.60946986999512,-90.60946986999512,0.0,0.0,0.0,0.0,-90.60946986999512,-90.60946986999512,0.0,-90.60946986999512,greedy+deconflict
200,2,100,-86.49177014770508,-86.49177014770508,0.0,1.0176112776988981,1.0176112776988981,0.0,-85.47415887000618,-85.47415887000618,0.0,-85.47415887000618,greedy+deconflict
200,3,100,-71.20623442840578,-71.20623442840578,0.0,1.8188388585854531,1.8188388585854531,0.0,-69.38739556982028,-69.38739556982028,0.0,-69.38739556982028,greedy+deconflict
200,4,100,-59.80978769950866,-59.80978769950866,0.0,2.3727851367499353,2.3727851367499353,0.0,-57.43700256275874,-57.43700256275874,0.0,-57.43700256275874,greedy+deconflict
200,5,100,-49.09510611391067,-49.09510611391067,0.0,3.0528595163871755,3.0528595163871755,0.0,-46.0422465975235,-46.0422465975235,0.0,-46.0422465975235,greedy+deconflict
200,6,100,-36.842974086833,-36.842974086833,0.0,2.217982563516987,2.217982563516987,0.0,-34.624991523316005,-34.624991523316005,0.0,-34.624991523316005,greedy+deconflict
