e,M,r
1000.0,50,0.6
1000.0,100,1.05
1000.0,200,1.55
1000.0,400,2.1
2000.0,50,1.65
2000.0,100,2.45
2000.0,200,3.7
2000.0,400,4.6
5000.0,50,5.15
5000.0,100,6.75
5000.0,200,9.95
5000.0,400,13.8
10000.0,50,10.0
10000.0,100,14.25
10000.0,200,21.1
10000.0,400,28.25
20000.0,50,21.75
20000.0,100,30.65
20000.0,200,43.05
20000.0,400,61.05
50000.0,50,47.65
50000.0,100,75.9
50000.0,200,109.3
50000.0,400,154.95
100000.0,50,50.0
100000.0,100,100.0
100000.0,200,195.4
100000.0,400,301.95
200000.0,50,50.0
200000.0,100,100.0
200000.0,200,200.0
200000.0,400,400.0
500000.0,50,50.0
500000.0,100,100.0
500000.0,200,200.0
500000.0,400,400.0
1000000.0,50,50.0
1000000.0,100,100.0
1000000.0,200,200.0
1000000.0,400,400.0
