M,Emax,K,N_meas,N_std,branch_linear,branch_cap,model,resid
50,50000,1,16.375,2.288,47.075,17.25,17.25,-0.875
50,50000,2,32.25,2.278,43.5,34.5,34.5,-2.25
50,50000,3,39.0,3.5,39.925,51.75,39.925,-0.925
50,50000,4,37.75,2.817,36.35,69.0,36.35,1.4
50,50000,5,32.75,2.773,32.775,86.25,32.775,-0.025
50,50000,6,28.75,1.714,29.2,103.5,29.2,-0.45
100,50000,1,25.0,1.414,70.963,25.333,25.333,-0.333
100,50000,2,45.0,2.872,64.875,50.666,50.666,-5.666
100,50000,3,60.375,4.973,58.788,75.999,58.788,1.587
100,50000,4,51.25,3.455,52.7,101.332,52.7,-1.45
100,50000,5,44.75,5.695,46.613,126.665,46.613,-1.863
100,50000,6,42.25,4.409,40.525,151.998,40.525,1.725
200,50000,1,34.125,3.621,102.537,33.833,33.833,0.292
200,50000,2,66.5,4.61,93.062,67.666,67.666,-1.166
200,50000,3,84.625,4.121,83.588,101.499,83.588,1.037
200,50000,4,72.5,6.801,74.113,135.332,74.113,-1.613
200,50000,5,64.75,5.117,64.638,169.165,64.638,0.112
200,50000,6,55.625,8.572,55.163,202.998,55.163,0.462
