M,Emax,E_per_node,Kstar,Kstar_lo,Kstar_hi,band,n_in_band,min_obj,margin,obj_K1,obj_K2,obj_K3,obj_K4,obj_K5,obj_K6,obj_K7,obj_K8,obj_K9,obj_K10,obj_K11,obj_K12,obj_K13,obj_K14,obj_K15,obj_K16,obj_K17,obj_K18
50,25000,500.0,2,2,2,2,1,-96.099,2.658,-59.81,-96.1,-88.06,-82.28,-70.83,-57.26,-47.73,-32.07,-25.13,-16.55,,,,,,,,
50,50000,1000.0,4,4,4,4,1,-152.201,2.435,-60.9,-107.36,-138.22,-152.2,-148.36,-138.5,-125.46,-113.75,-99.73,-84.19,,,,,,,,
50,100000,2000.0,9,8,9,8-9,2,-202.516,3.591,-60.9,-107.3,-140.32,-164.12,-180.01,-186.62,-195.34,-201.02,-202.52,-198.64,,,,,,,,
50,150000,3000.0,14,12,15,12-15,4,-215.406,4.32,-60.9,-107.3,-138.99,-164.37,-179.75,-186.9,-195.7,-202.25,-205.57,-208.69,-210.62,-212.66,-214.56,-215.41,-214.26,-210.25,-204.84,-196.61
50,200000,4000.0,18,13,18,13-18,6,-218.464,4.311,-60.9,-107.3,-140.45,-163.6,-179.32,-186.55,-195.7,-201.7,-205.57,-208.58,-210.62,-212.83,-214.69,-215.97,-216.84,-217.66,-218.24,-218.46
100,25000,250.0,2,2,2,2,1,-135.675,3.485,-89.56,-135.68,-132.12,-123.98,-107.42,-91.14,-77.13,-58.76,-47.9,-37.17,,,,,,,,
100,50000,500.0,4,4,4,4,1,-235.451,4.479,-89.56,-158.29,-216.83,-235.45,-226.28,-221.9,-192.49,-185.42,-159.63,-146.9,,,,,,,,
100,100000,1000.0,8,7,9,7-9,3,-360.145,7.02,-89.56,-158.29,-219.21,-266.56,-303.51,-335.76,-355.22,-360.14,-359.72,-350.57,,,,,,,,
100,150000,1500.0,14,12,14,12-14,3,-416.594,6.666,-89.56,-158.29,-219.21,-266.56,-303.51,-337.13,-361.59,-376.48,-390.42,-399.34,-407.02,-411.67,-415.64,-416.59,-409.29,-401.16,-389.15,-375.2
100,200000,2000.0,10,10,10,10,1,-400.437,6.407,-89.56,-158.29,-219.21,-266.56,-303.51,-337.13,-361.33,-376.48,-390.62,-400.44,,,,,,,,
200,25000,125.0,2,2,3,2-3,2,-190.243,7.974,-124.03,-190.24,-184.84,-176.41,-165.55,-147.93,-131.81,-111.16,-96.45,-81.62,,,,,,,,
200,50000,250.0,4,4,5,4-5,2,-348.387,7.334,-124.03,-226.28,-313.44,-348.39,-345.31,-322.42,-307.34,-278.37,-265.1,-245.77,,,,,,,,
200,100000,500.0,8,7,9,7-9,3,-578.393,12.048,-124.03,-226.28,-317.85,-410.56,-485.34,-542.98,-578.38,-578.39,-572.89,-557.32,,,,,,,,
200,150000,750.0,10,10,10,10,1,-702.269,12.56,-124.03,-226.28,-317.85,-410.56,-485.34,-547.77,-605.14,-643.44,-675.73,-702.27,,,,,,,,
200,200000,1000.0,10,10,10,10,1,-710.223,11.364,-124.03,-226.28,-317.85,-410.56,-485.34,-547.77,-604.74,-643.66,-678.2,-710.22,,,,,,,,
