M,Emax,K,Ee,mean_obj,std_obj,sem_obj,E_per_node,instances,iters,restarts
400,25000,2,12500.0,-255.2321,31.1834,9.0019,62.5,12,2000,2
400,25000,3,8333.3,-248.8381,32.1954,9.294,62.5,12,2000,2
400,25000,4,6250.0,-233.7279,30.7255,8.8697,62.5,12,2000,2
400,25000,5,5000.0,-222.5403,23.7898,6.8675,62.5,12,2000,2
400,25000,6,4166.7,-220.0282,25.6296,7.3986,62.5,12,2000,2
400,25000,7,3571.4,-205.6453,27.9897,8.0799,62.5,12,2000,2
400,25000,8,3125.0,-184.3286,25.1451,7.2588,62.5,12,2000,2
400,25000,9,2777.8,-165.4341,21.5633,6.2248,62.5,12,2000,2
400,25000,10,2500.0,-141.6668,27.5944,7.9658,62.5,12,2000,2
400,50000,2,25000.0,-317.7623,17.2324,4.9746,125.0,12,2000,2
400,50000,3,16666.7,-450.8166,30.9129,8.9238,125.0,12,2000,2
400,50000,4,12500.0,-482.6555,29.9422,8.6436,125.0,12,2000,2
400,50000,5,10000.0,-469.7486,41.765,12.0565,125.0,12,2000,2
400,50000,6,8333.3,-447.8905,50.3852,14.545,125.0,12,2000,2
400,50000,7,7142.9,-427.2733,40.849,11.7921,125.0,12,2000,2
400,50000,8,6250.0,-409.0779,36.3142,10.483,125.0,12,2000,2
400,50000,9,5555.6,-402.8378,34.7199,10.0228,125.0,12,2000,2
400,50000,10,5000.0,-369.129,45.2896,13.074,125.0,12,2000,2
400,100000,2,50000.0,-317.743,17.2345,4.9752,250.0,12,2000,2
