M,Emax,K,N_meas,obj,is_kstar,coverage_frac,peak_coverage_frac,K_law,grid,instance_seed,solver,source_dir
50,25000,1,16.42,-59.81,0,0.3284,0.4400,2,12/2000/2,2025,SA,fleet_coverage_b25k
50,25000,2,22.00,-96.10,1,0.4400,0.4400,2,12/2000/2,2025,SA,fleet_coverage_b25k
50,25000,3,16.92,-88.06,0,0.3384,0.4400,2,12/2000/2,2025,SA,fleet_coverage_b25k
50,25000,4,15.83,-82.28,0,0.3166,0.4400,2,12/2000/2,2025,SA,fleet_coverage_b25k
50,25000,5,13.42,-70.83,0,0.2684,0.4400,2,12/2000/2,2025,SA,fleet_coverage_b25k
50,25000,6,11.00,-57.26,0,0.2200,0.4400,2,12/2000/2,2025,SA,fleet_coverage_b25k
50,25000,7,9.08,-47.73,0,0.1816,0.4400,2,12/2000/2,2025,SA,fleet_coverage_b25k
50,25000,8,6.25,-32.07,0,0.1250,0.4400,2,12/2000/2,2025,SA,fleet_coverage_b25k
100,25000,1,25.58,-89.56,0,0.2558,0.2892,2,12/2000/2,2025,SA,fleet_coverage_b25k
100,25000,2,28.92,-135.68,1,0.2892,0.2892,2,12/2000/2,2025,SA,fleet_coverage_b25k
100,25000,3,24.00,-132.12,0,0.2400,0.2892,2,12/2000/2,2025,SA,fleet_coverage_b25k
100,25000,4,22.33,-123.98,0,0.2233,0.2892,2,12/2000/2,2025,SA,fleet_coverage_b25k
100,25000,5,19.83,-107.42,0,0.1983,0.2892,2,12/2000/2,2025,SA,fleet_coverage_b25k
100,25000,6,16.58,-91.14,0,0.1658,0.2892,2,12/2000/2,2025,SA,fleet_coverage_b25k
100,25000,7,14.67,-77.13,0,0.1467,0.2892,2,12/2000/2,2025,SA,fleet_coverage_b25k
100,25000,8,11.17,-58.76,0,0.1117,0.2892,2,12/2000/2,2025,SA,fleet_coverage_b25k
200,25000,1,34.25,-124.03,0,0.1713,0.1859,2,12/2000/2,2025,SA,fleet_coverage_b25k
200,25000,2,37.17,-190.24,1,0.1859,0.1859,2,12/2000/2,2025,SA,fleet_coverage_b25k
200,25000,3,30.25,-184.84,0,0.1512,0.1859,2,12/2000/2,2025,SA,fleet_coverage_b25k
200,25000,4,28.08,-176.41,0,0.1404,0.1859,2,12/2000/2,2025,SA,fleet_coverage_b25k
200,25000,5,27.08,-165.55,0,0.1354,0.1859,2,12/2000/2,2025,SA,fleet_coverage_b25k
200,25000,6,25.00,-147.93,0,0.1250,0.1859,2,12/2000/2,2025,SA,fleet_coverage_b25k
