layout,M,Emax,K,seed,coord,replan,divert,q,belief,tau,planner,L,Th,J,n_diverts,J_age,J_event,n_replans,n_never,share_never,n_reach_inf,K_reach_i,K_commute_i,r_max,r_c,rmax_over_rc,regime_bnd,P_bar,dup_frac,trunc_frac,empty_frac,T_s_over_t_c,mean_n,catch_rate,T_rev,n_sorties,secs
paper,40,1500000.0,2,1,exclude,launch,0,0.0,prior,0.0,cpsat_d5,12600.0,43200,341199.0171804093,0,221784.66503679272,119414.35214361653,0,0,0.0,0,5.425660194247848,8.59398856803433,7039.041376459038,2316.138621721696,3.039127844268053,2.0095585822463535,305.76255929618037,0.0,0.044444444444444446,0.0,4.07189025019505,23.0,0.7789757412398922,1750.0133422540791,33,93.81374955177307
paper,40,1500000.0,3,1,exclude,launch,0,0.0,prior,0.0,cpsat_d5,12600.0,43200,196775.8694896394,0,147252.32188662444,49523.54760301495,0,0,0.0,0,5.425660194247848,7.777859601060199,7039.041376459038,2562.5289027317085,2.746911993443381,2.006924891417149,304.16932108663127,0.0,0.02,0.0,2.718650802578407,15.243243243243244,0.8446866485013624,1191.4977710193505,74,210.21304297447205
paper,40,1500000.0,4,1,exclude,launch,0,0.0,prior,0.0,cpsat_d5,12600.0,43200,162300.56300533251,0,121215.23181581475,41085.331189517754,0,0,0.0,0,5.425660194247848,7.421040479175129,7039.041376459038,2687.2725151472296,2.6193999070739515,2.0057808496056113,303.47853523001555,0.0,0.0,0.0,2.0409332481540523,10.212121212121213,0.8571428571428571,971.6164314313313,132,371.01267647743225
paper,40,1500000.0,5,1,exclude,launch,0,0.0,prior,0.0,cpsat_d5,12600.0,43200,133278.2063952068,0,104592.68655602279,28685.519839184028,0,0,0.0,0,5.425660194247848,6.679736213770215,7039.041376459038,2985.989120271552,2.357356672424477,2.0054528603596773,303.28063632163696,0.0,0.0,0.0,1.6008763586088677,7.423809523809524,0.8972222222222223,833.6069416961698,210,440.2631163597107
paper,40,1500000.0,9,1,exclude,launch,0,0.0,prior,0.0,cpsat_d5,12600.0,43200,2627165.1678534662,0,2274630.384463262,352534.7833902044,0,13,0.9855431573242237,18,5.425660194247848,6.143591156795488,7039.041376459038,3246.8897865029435,2.167933573144293,2.005257446190641,303.1627599365188,0.0,0.0,0.0010940919037199124,0.881804722624336,2.911208151382824,0.7008310249307479,655.0865101017984,687,160.3326621055603
paper,40,1500000.0,6,1,exclude,launch,0,0.0,prior,0.0,cpsat_d5,12600.0,43200,191530.37632439035,0,157978.81491311014,33551.561411280236,0,1,0.42378153867601737,1,5.425660194247848,7.033918687050522,7039.041376459038,2836.476941701061,2.4816141717822884,2.004856949844573,302.92124689528146,0.0,0.0,0.0,1.352184127417998,6.23489932885906,0.9016393442622951,710.1304421137578,298,686.2910809516907
paper,40,1500000.0,8,1,exclude,launch,0,0.0,prior,0.0,cpsat_d5,12600.0,43200,1533958.5785369938,0,1329893.1345190895,204065.44401790423,0,7,0.9608795356398583,11,5.425660194247848,6.357189952980002,7039.041376459038,3138.4284514990923,2.2428554562385483,2.004853166101194,302.9189656270782,0.0,0.0,0.0,1.0133850817169026,4.116760828625235,0.8,600.4489492366142,531,500.8088746070862
paper,40,1500000.0,7,1,exclude,launch,0,0.0,prior,0.0,cpsat_d5,12600.0,43200,311714.1594718678,0,270923.28195722913,40790.877514638625,0,2,0.7048718879298719,4,5.425660194247848,6.744039726930624,7039.041376459038,2958.3849128301936,2.3793527833148014,2.0048652687306285,302.9262624903234,0.0,0.0,0.0,1.1588048516850282,5.022167487684729,0.9113573407202216,645.9466523543681,406,771.1669845581055
paper,40,1500000.0,2,2,exclude,launch,0,0.0,prior,0.0,cpsat_d5,12600.0,43200,431245.5282695881,0,252208.03731171656,179037.49095787155,0,0,0.0,0,4.930988268367764,10.97027466730338,7778.6308050929465,1814.6658893317776,4.286536078526999,2.009304765327424,305.6088327937939,0.0,0.06521739130434782,0.0,4.025331457716137,21.058823529411764,0.751269035532995,1856.5385113102643,34,97.1889922618866
paper,40,1500000.0,3,2,exclude,launch,0,0.0,prior,0.0,cpsat_d5,12600.0,43200,250713.33479988773,0,169604.691151695,81108.64364819271,0,0,0.0,0,4.930988268367764,9.974185704007203,7778.6308050929465,1998.5172094311142,3.8922010620599883,2.006663952441106,304.0116939433048,0.0,0.0392156862745098,0.0,2.68397055768398,13.586666666666666,0.8092783505154639,1278.4808430742082,75,185.29746222496033
