layout,M,Emax,K,seed,coord,replan,divert,q,belief,tau,planner,L,Th,J,n_diverts,J_age,J_event,n_replans,n_never,share_never,n_reach_inf,K_reach_i,K_commute_i,r_max,r_c,rmax_over_rc,regime_bnd,P_bar,dup_frac,trunc_frac,empty_frac,T_s_over_t_c,mean_n,catch_rate,T_rev,n_sorties,secs
paper,40,1500000.0,2,1,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,289595.9366850876,0,200053.85129421353,89542.08539087411,0,0,0.0,0,5.425660194247848,4.771659162568095,7039.041376459038,4168.960600060363,1.6884403696108614,2.0107718004828414,306.49788979539755,0.0,0.0,0.0,3.7317803536546266,19.972972972972972,0.7756756756756756,1845.5504321970918,37,0.1340169906616211
paper,40,1500000.0,3,1,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,195746.8113655214,0,145047.3389799954,50699.47238552601,0,0,0.0,0,5.425660194247848,4.732860422396073,7039.041376459038,4207.959510823054,1.6727920880308658,2.0084671927742033,305.1018236705645,0.0,0.0,0.0,2.626297430698337,13.376623376623376,0.8736263736263736,1286.2557922173278,77,0.17352890968322754
paper,40,1500000.0,4,1,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,184095.02651907536,0,132765.5940275035,51329.43249157184,0,0,0.0,0,5.425660194247848,4.2532498557836425,7039.041376459038,4682.10995268242,1.503390874540721,2.0086186329529587,305.1934640219685,0.0,0.0,0.0,1.8824772835906707,8.01388888888889,0.8657534246575342,1143.8928502507324,144,0.2820422649383545
paper,40,1500000.0,2,3,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,283071.5200048911,0,190726.5230570077,92344.99694788341,0,0,0.0,0,5.385587312792127,5.292764879327575,7093.897473043144,3758.611587685138,1.8873717881054448,2.010712330697646,306.4618246272805,0.0,0.0,0.0,3.825264592079393,20.0,0.7810810810810811,1844.6715590879985,36,0.16152000427246094
paper,40,1500000.0,3,3,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,225413.26685358438,0,156197.17100430367,69216.09584928071,0,0,0.0,0,5.385587312792127,4.441846058327549,7093.897473043144,4482.740282080129,1.5824912947558403,2.0088749834308945,305.3486196578063,0.0,0.0,0.0,2.6688418494369905,11.893333333333333,0.8135135135135135,1465.0047887864496,75,0.1620159149169922
paper,40,1500000.0,6,1,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,212899.9615179918,0,173508.00056693572,39391.960951056055,0,1,0.3918966729799504,1,5.425660194247848,4.79380548853501,7039.041376459038,4153.406890466938,1.6947632539001465,2.0089776441968317,305.41076594669636,0.0,0.0,0.0,1.237795785482859,4.345565749235474,0.8937329700272479,927.8829057129914,327,0.30254507064819336
paper,40,1500000.0,5,3,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,158285.49761610595,0,122188.17940136515,36097.31821474079,0,0,0.0,0,5.385587312792127,4.336818168034796,7093.897473043144,4590.006710238377,1.5455091726161614,2.0094419162070887,305.69189465875183,0.0,0.0,0.0,1.4999778991321246,4.96,0.8547945205479452,1183.526121354396,225,0.185028076171875
paper,40,1500000.0,3,2,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,208330.72419910706,0,150340.63905121712,57990.085147889964,0,0,0.0,0,4.930988268367764,4.607925219369207,7778.6308050929465,4322.080854491123,1.7997420841884721,2.0084530396180504,305.0932599344654,0.0,0.0,0.0,2.6550194793611452,13.276315789473685,0.8556701030927835,1308.1774231290633,76,0.297548770904541
paper,40,1500000.0,2,4,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,345226.6676164454,0,229613.83145526043,115612.83616118497,0,0,0.0,0,5.64141478023175,3.9137399506889925,6757.086633687209,5078.741356094448,1.3304648061234228,2.012388976453205,307.47943189319045,0.0,0.020833333333333332,0.0,3.784071541037706,20.0,0.768,1824.064757469805,36,0.09251785278320312
paper,40,1500000.0,4,3,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,131920.66756132478,0,101057.39863691492,30863.26892440987,0,0,0.0,0,5.385587312792127,5.810252621375346,7093.897473043144,3430.9036650274725,2.0676469425107977,2.006579875051648,303.9609134576973,0.0,0.0,0.0,2.024479174228605,9.992481203007518,0.8379120879120879,997.7957970817206,133,0.23053312301635742
paper,40,1500000.0,7,1,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,343340.6518348803,0,291122.545388944,52218.10644593627,0,2,0.6399618792343275,4,5.425660194247848,4.831390016361116,7039.041376459038,4117.348985398663,1.709605234198403,2.0108061949568663,306.5187491289536,0.0,0.0,0.0,1.0802139566178695,3.160919540229885,0.859504132231405,953.6630838787388,435,0.37404870986938477
paper,40,1500000.0,4,2,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,184547.7040447843,0,134933.29998280018,49614.40406198412,0,0,0.0,0,4.930988268367764,4.38502889729502,7778.6308050929465,4541.377013853017,1.712835287923687,2.0086301356942906,305.2004251892049,0.0,0.0,0.0,1.8417212978698756,7.924657534246576,0.8704663212435233,1133.2936492943363,146,0.3325488567352295
