layout,M,Emax,K,seed,coord,replan,divert,q,belief,tau,planner,L,Th,J,n_diverts,J_age,J_event,n_replans,n_never,share_never,n_reach_inf,K_reach_i,K_commute_i,r_max,r_c,rmax_over_rc,regime_bnd,P_bar,dup_frac,trunc_frac,empty_frac,T_s_over_t_c,mean_n,catch_rate,T_rev,n_sorties,secs
paper,40,1500000.0,2,2,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200,359734.10836550896,0,228026.43732489162,131707.67104061734,0,0,0.0,0,4.930988268367764,11.777714074887694,7778.6308050929465,1690.2493688212198,4.60206106186436,2.009315812881589,305.61552303984683,0.0,0.08888888888888889,0.0,4.051062992564973,22.939393939393938,0.7493670886075949,1745.6956233647663,33,20.483202934265137
paper,40,1500000.0,3,1,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200,247506.68688127457,0,164528.2556915316,82978.43118974294,0,0,0.0,0,5.425660194247848,7.591812866554154,7039.041376459038,2625.2645200368847,2.6812693817079203,2.00697252748744,304.19810133433305,0.0,0.010101010101010102,0.0,2.7080280119628752,13.534246575342467,0.85,1322.289768479079,73,21.581033945083618
paper,40,1500000.0,2,1,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200,382300.81382218475,0,235907.14079910787,146393.67302307684,0,0,0.0,0,5.425660194247848,8.050362500747681,7039.041376459038,2472.5847788256883,2.846835197215001,2.009524767257228,305.742076711728,0.0,0.043478260869565216,0.0,4.039597630043144,20.764705882352942,0.7907608695652174,1888.7870906041328,34,22.053242206573486
paper,40,1500000.0,2,3,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200,370338.2788306884,0,231692.67444032605,138645.60439036234,0,0,0.0,0,5.385587312792127,9.058494975426957,7093.897473043144,2197.2156666181972,3.2285849681572594,2.0097001114068336,305.84829449249156,0.0,0.021739130434782608,0.0,4.045164150455589,19.61764705882353,0.7573333333333333,2001.1169614911905,34,22.900516271591187
paper,40,1500000.0,3,2,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200,232771.0068878704,0,159702.3460554745,73068.6608323959,0,0,0.0,0,4.930988268367764,10.708910845510006,7778.6308050929465,1861.4633907304503,4.178771843608787,2.0065971402337,303.97134081799885,0.0,0.00980392156862745,0.0,2.6949028237573556,14.64,0.8487179487179487,1193.786158108912,75,27.889904975891113
paper,40,1500000.0,3,3,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200,210213.29136739447,0,147763.08850081204,62450.20286658247,0,0,0.0,0,5.385587312792127,9.37446859482284,7093.897473043144,2126.168973962569,3.3364692834465335,2.0068529740721983,304.12587341940946,0.0,0.0,0.0,2.701982698374731,13.85135135135135,0.8189189189189189,1279.3433370113564,74,30.886389017105103
paper,40,1500000.0,2,4,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200,426563.8192262261,0,269822.8112990943,156741.00792713184,0,0,0.0,0,5.64141478023175,13.186826589492272,6757.086633687209,1509.2804478914463,4.477025222931402,2.0097856926363296,305.9001435159096,0.0,0.021739130434782608,0.0,3.978772154753361,20.61764705882353,0.7374005305039788,1862.3624811448478,34,11.517707586288452
paper,40,1500000.0,4,2,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200,167301.1169343358,0,124573.72607502369,42727.3908593121,0,0,0.0,0,4.930988268367764,9.171815083710413,7778.6308050929465,2174.6759429223057,3.576914910200417,2.0054422070742737,303.2742095299159,0.0,0.00558659217877095,0.0,2.0311333630402015,10.32089552238806,0.8772378516624041,960.7308030151377,134,34.84096097946167
paper,40,1500000.0,5,2,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200,147826.30312146145,0,109561.0767479383,38265.22637352315,0,0,0.0,1,4.930988268367764,7.9267797964719255,7778.6308050929465,2516.7805034283483,3.090706875111646,2.0050160643042867,303.0171868529035,0.0,0.01079136690647482,0.0,1.6188921257240172,7.6298076923076925,0.896640826873385,831.0550817625638,208,35.23459577560425
paper,40,1500000.0,4,3,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200,151149.42716985874,0,112979.22373921784,38170.20343064091,0,0,0.0,0,5.385587312792127,8.008204750742502,7093.897473043144,2490.222288109822,2.8487004983108135,2.0057957510301656,303.48752783710046,0.0,0.0,0.0,2.030668744960666,10.119402985074627,0.8594594594594595,981.4401384154153,134,37.9869270324707
