M,Emax,K,n_chains,n,d_first,d_last,d_mean,hop,E_excursion,E_tour,E_hover
50,50000,2,16,16.125,397.0562838959619,150.18306341995327,352.6031212465032,113.94210456913787,4104.295104869364,12744.37320788693,438.6675800664381
50,50000,3,24,13.0,347.73726118044027,160.3611630961362,347.4541676834403,127.21257110291383,3810.738182074323,11177.860790651102,363.35427615789257
50,50000,4,32,9.4375,332.9213435113343,164.21602868237835,348.08924108977567,133.80385385019807,3728.5302914528447,8117.11284377178,266.5179675523625
50,50000,5,40,6.55,363.70270884906944,172.38135899575624,337.09475021633347,136.14925201325067,4020.6305088361923,5417.518110000781,180.54353964186384
50,50000,6,47,4.872340425531915,352.8515253055576,178.3456420509672,310.531920963881,148.4712825559727,3983.9787551739355,3770.639334223298,134.67068808018732
100,50000,2,16,22.5,344.63899355581066,122.07948543166123,360.83547582748525,81.3176208091817,3500.3885924060387,13028.530556611071,668.9846739709569
100,50000,3,24,20.125,321.9669607399608,111.18449080240923,361.18656835136653,88.18472649379306,3248.6358865677753,12485.858824691188,589.3369191254128
100,50000,4,32,12.8125,353.1193116883953,136.36348737816797,351.3197507357596,99.74341852394063,3671.120992999224,8401.180554695478,373.75394004579226
100,50000,5,40,8.95,336.3380218142953,132.3215647747872,319.3617332401764,107.22534641790423,3514.946899418118,6071.106594006921,257.23163266191244
100,50000,6,48,7.041666666666667,320.90398400478625,149.9294554107597,301.8019957707395,103.86501682484224,3531.250795616595,4498.524621062438,205.02446457251472
200,50000,2,16,33.25,436.15270925196046,78.79676396693304,347.01804535967455,56.39166068654902,3862.1210491417014,13478.749201895673,929.6482902367878
200,50000,3,24,28.208333333333332,311.1411264238215,78.2125731143109,352.6026782429344,64.54995666675644,2920.1527465359927,12928.612864704215,780.1158436534103
200,50000,4,32,18.125,278.08297475394704,93.8292454625682,332.2147412677658,73.36992453635648,2789.341651623864,9171.300113577068,516.8608490032033
200,50000,5,40,12.95,291.34911611301237,92.85808297836495,317.5703975948368,78.07135023691258,2881.55399318533,6719.618245921563,370.4367435541911
200,50000,6,48,9.270833333333334,319.308556737095,114.65936702507383,297.901619855688,83.57901231321868,3254.759428216266,4790.369164045601,268.71190423305296
