M,Emax,K,n_chains,uniform_w,n,d_first,d_last,d_centroid,hop,Rg2,E_excursion,E_tour,E_hover
50,50000,2,16,0,16.125,397.0562838959619,150.18306341995327,272.236450028256,113.94210456913787,64052.60287705694,4104.295104869364,12744.37320788693,438.6675800664381
50,50000,3,24,0,13.0,347.73726118044027,160.3611630961362,282.52978653290705,127.21257110291383,54875.36274368739,3810.738182074323,11177.860790651102,363.35427615789257
50,50000,4,32,0,9.4375,332.9213435113343,164.21602868237835,297.30412431291506,133.80385385019807,43792.48044788931,3728.5302914528447,8117.11284377178,266.5179675523625
50,50000,5,40,0,6.55,363.70270884906944,172.38135899575624,310.6756918605273,136.14925201325067,28967.26927354891,4020.6305088361923,5417.518110000781,180.54353964186384
50,50000,6,47,0,4.872340425531915,352.8515253055576,178.3456420509672,294.94249378932915,148.4712825559727,19240.461238054624,3983.9787551739355,3770.639334223298,134.67068808018732
100,50000,2,16,0,22.5,344.63899355581066,122.07948543166123,304.97381248642546,81.3176208091817,54211.616963977256,3500.3885924060387,13028.530556611071,668.9846739709569
100,50000,3,24,0,20.125,321.9669607399608,111.18449080240923,314.1979327414847,88.18472649379306,48662.448070508435,3248.6358865677753,12485.858824691188,589.3369191254128
100,50000,4,32,0,12.8125,353.1193116883953,136.36348737816797,320.9540652100095,99.74341852394063,35308.929970778714,3671.120992999224,8401.180554695478,373.75394004579226
100,50000,5,40,0,8.95,336.3380218142953,132.3215647747872,301.72712988547966,107.22534641790423,24284.22654158236,3514.946899418118,6071.106594006921,257.23163266191244
100,50000,6,48,0,7.041666666666667,320.90398400478625,149.9294554107597,286.954204611326,103.86501682484224,18760.005118690588,3531.250795616595,4498.524621062438,205.02446457251472
200,50000,2,16,0,33.25,436.15270925196046,78.79676396693304,305.1374750700952,56.39166068654902,44011.70097415169,3862.1210491417014,13478.749201895673,929.6482902367878
200,50000,3,24,0,28.208333333333332,311.1411264238215,78.2125731143109,316.7754752119153,64.54995666675644,39828.93075571654,2920.1527465359927,12928.612864704215,780.1158436534103
200,50000,4,32,0,18.125,278.08297475394704,93.8292454625682,310.8081543593671,73.36992453635648,29166.73443779388,2789.341651623864,9171.300113577068,516.8608490032033
200,50000,5,40,0,12.95,291.34911611301237,92.85808297836495,305.49337702790655,78.07135023691258,22062.649645439677,2881.55399318533,6719.618245921563,370.4367435541911
200,50000,6,48,0,9.270833333333334,319.308556737095,114.65936702507383,289.0097019980924,83.57901231321868,16749.793928298724,3254.759428216266,4790.369164045601,268.71190423305296
