M,Emax,K,n_chains,n,d_first,d_last,d_mean,hop,E_excursion,E_tour,E_hover
50,25000,2,16,10.9375,271.5241498354423,151.8824117339176,318.7756715617839,121.39345457020943,3175.549211770199,8799.05997915699,296.9624336671278
50,25000,3,24,5.708333333333333,296.3730756414994,159.25955315547597,282.9301362297848,137.37689727176377,3417.244715977315,4502.313504414403,156.90051313867494
50,25000,4,32,3.78125,287.95694536674205,165.2781817179708,243.22849110327292,121.2938131455084,3399.2634531353465,2280.3098885426425,104.82416322508814
50,25000,5,33,2.757575757575758,244.25781570705436,159.47906371181824,206.12792776326762,104.79164273564061,3028.0265956415456,1362.7478333791769,77.12626898439284
50,25000,6,28,2.25,204.2482566413562,143.4790775649705,173.78021541584943,85.50644144114372,2607.955006547451,759.8624238700332,64.80896594364239
50,25000,8,1,2.0,182.30691643187558,68.08890671666794,125.19791157427176,120.29310547610095,1877.9686736140764,902.1982910707571,42.79378041258412
50,50000,2,16,16.125,397.0562838959619,150.18306341995327,352.6031212465032,113.94210456913787,4104.295104869364,12744.37320788693,438.6675800664381
50,50000,3,24,13.0,347.73726118044027,160.3611630961362,347.4541676834403,127.21257110291383,3810.738182074323,11177.860790651102,363.35427615789257
50,50000,4,32,9.4375,332.9213435113343,164.21602868237835,348.08924108977567,133.80385385019807,3728.5302914528447,8117.11284377178,266.5179675523625
50,50000,5,40,6.55,363.70270884906944,172.38135899575624,337.09475021633347,136.14925201325067,4020.6305088361923,5417.518110000781,180.54353964186384
50,50000,6,47,4.872340425531915,352.8515253055576,178.3456420509672,310.531920963881,148.4712825559727,3983.9787551739355,3770.639334223298,134.67068808018732
50,50000,8,62,2.9516129032258065,320.89490102034006,196.16812045291357,265.3503862601024,129.78457663618173,3877.9726610494026,1721.1840148291371,83.7135956679543
50,50000,10,40,2.35,263.7759171605675,160.49963587711167,213.53364566500886,112.79015097415535,3182.0666477825935,1064.6365464765652,65.90977767378475
50,100000,2,16,16.25,391.3631610174382,146.1436546587018,352.5070004270159,115.36450658229683,4031.30111757105,13000.482069368623,442.73450070583885
50,100000,3,24,14.041666666666666,425.80822192192403,166.71060984733268,362.176812851478,129.26931328537916,4443.891238269425,12349.557184111487,387.49219834936736
50,100000,4,32,11.875,409.4932499226253,165.26877584334204,366.6209540444879,138.5334049855091,4310.715193244755,10906.852074766966,329.3319181407519
50,100000,5,40,9.925,451.05957099746956,168.31791635800218,375.07574826576945,150.11575588783762,4645.331155166039,9628.02699910269,273.8562645548451
50,100000,6,48,8.25,445.8420761706897,177.17745800397924,373.5419299403643,159.31608223413932,4672.646506310017,8145.625141314879,227.21664647308603
50,100000,8,64,6.125,468.22879824273804,195.72132618318042,371.6232635827388,166.85181648339946,4979.625933194388,5657.695125955268,169.25056761560197
50,100000,10,79,4.658227848101266,454.09675762973853,203.0861689116277,359.72653326161037,163.13717264156088,4928.871949060246,3953.0130880941956,128.68070274303173
100,25000,2,16,13.75,305.29532356339917,122.47462367849919,330.74080824639077,93.86865663296592,3208.274604314237,8690.607945430285,406.83232249848913
100,25000,3,24,7.583333333333333,301.5853526787078,132.2228014673077,279.00134447044485,109.2560002469592,3253.5611560951165,4799.976082262739,224.16291608861957
100,25000,4,32,5.3125,271.414651283857,141.38084103623476,242.45491494481539,97.85093814824214,3095.9661924006878,2881.249139281662,151.44029391322283
100,25000,5,39,3.948717948717949,216.37304649006822,137.2434403479249,198.45472642893574,100.5357428216814,2652.1236512849487,1933.03739020299,111.52691974202324
100,25000,6,43,2.953488372093023,207.02952556774937,132.72217260586814,175.66895868251186,96.78717926969415,2548.137736302131,1201.3044635498443,84.76178269081036
100,25000,8,21,2.142857142857143,161.0054717991021,102.00721998374874,131.33008304797673,82.99223504745535,1972.5951883713813,662.6810881309946,61.01396384199103
100,50000,2,16,22.5,344.63899355581066,122.07948543166123,360.83547582748525,81.3176208091817,3500.3885924060387,13028.530556611071,668.9846739709569
100,50000,3,24,20.125,321.9669607399608,111.18449080240923,361.18656835136653,88.18472649379306,3248.6358865677753,12485.858824691188,589.3369191254128
100,50000,4,32,12.8125,353.1193116883953,136.36348737816797,351.3197507357596,99.74341852394063,3671.120992999224,8401.180554695478,373.75394004579226
100,50000,5,40,8.95,336.3380218142953,132.3215647747872,319.3617332401764,107.22534641790423,3514.946899418118,6071.106594006921,257.23163266191244
100,50000,6,48,7.041666666666667,320.90398400478625,149.9294554107597,301.8019957707395,103.86501682484224,3531.250795616595,4498.524621062438,205.02446457251472
100,50000,8,64,4.34375,306.34049978998326,160.37696447196913,255.31919692408368,112.7195274878803,3500.380981964642,2444.3974824140605,127.10744730738737
100,50000,10,73,2.9452054794520546,262.72221853703655,149.00011809108847,211.86615296756406,103.66731200509422,3087.917524710938,1353.6943469601486,83.70340692268515
