n,d_first,d_last,d_mean,tour_len,hop,E_excursion,E_tour,E_hover,M,Emax,K,seed
13,236.140784299456,179.34654506109607,345.6206288367788,1075.6387346312797,89.6365612192733,3116.15497020414,8067.290509734597,400.3940833515844,50,25000,2,4474730
9,331.4505904242088,156.76310920803283,346.69688667815825,1099.1959978970563,137.39949973713203,3661.6027472418123,8243.969984227922,241.1108663066233,50,25000,2,4474730
13,246.31878858476284,107.88394399518006,326.4676207424899,1269.246824434759,105.77056870289658,2656.520494349572,9519.351183260693,266.13579288207757,50,25000,2,9944578
10,212.9800233295434,178.28375377544987,339.7215251739618,1217.977250832034,135.33080564800377,2934.4783282874496,9134.829381240255,254.8174648027894,50,25000,2,9944578
15,314.45664246031373,187.75220517590407,328.11043668774346,1076.7356999923227,76.90969285659448,3766.5663572716335,8075.51774994242,436.01721898831744,50,25000,2,9925823
11,286.8901728291016,156.67658528882106,432.71427991571943,1175.1205073646586,117.51205073646585,3326.75068588442,8813.403805234939,300.41853881219083,50,25000,2,9925823
12,154.69714300549947,67.78415834045411,253.11287230485377,1391.7644757521803,126.5240432501982,1668.6097600946518,10438.233568141351,329.965754513575,50,25000,2,3820097
8,626.9257667452777,80.38001333038373,354.40222974278356,865.8290945394615,123.6898706484945,5304.79335056746,6493.718209045961,226.81396622833273,50,25000,2,3820097
10,530.8307760638941,187.61292556156778,298.4591177890176,881.3884875374358,97.9320541708262,5388.327762190964,6610.413656530769,268.8831608080289,50,25000,2,9535879
11,375.23429866576856,68.08890671666794,354.74444992743787,1184.0255532894564,118.40255532894564,3324.924040368274,8880.191649670924,286.84416278072354,50,25000,2,9535879
12,237.44550313644075,78.18233191857247,269.3204529116361,1297.9992675908213,117.99993341734739,2367.2087629125995,9734.99450693116,352.59585496502035,50,25000,2,8271480
10,168.61086857166467,207.3797166328998,276.9989276336124,1234.043883649138,137.11598707212644,2819.9293890342333,9255.329127368535,313.33765668269297,50,25000,2,8271480
13,219.80313905065498,171.9344203483549,310.37160905311106,1223.0110978526734,101.91759148772279,2938.0316954925743,9172.583233895051,362.6899970624914,50,25000,2,6394530
9,90.41342549758544,116.42997160506894,232.66607484804658,1416.8587336356559,177.10734170445699,1551.3254782699078,10626.440502267418,254.0283798166974,50,25000,2,6394530
10,218.74826948538828,131.7353038112792,291.2469090426482,1171.0674845373812,130.11860939304236,2628.626799725006,8783.00613403036,250.25996388478177,50,25000,2,8372552
9,93.44020521751663,353.8846969729485,339.75672370054406,1191.4248619985951,148.9281077498244,3354.9367664284887,8935.686464989463,207.0860767881178,50,25000,2,8372552
7,402.9169082098508,190.04151745898727,376.34318089576175,489.9186226172218,81.65310376953697,4447.188192516286,3674.3896696291636,201.33187242757668,50,25000,3,4474730
4,152.4944418427394,121.75443024662259,282.6012667912529,783.4637459732784,261.1545819910928,2056.8665406702153,5875.978094799588,125.41143597787874,50,25000,3,4474730
5,393.7897256104818,179.34654506109607,328.8004178390933,411.05938774113065,102.76484693528266,4298.522030036835,3082.94540805848,175.26751204752216,50,25000,3,4474730
11,172.5437409334057,107.88394399518006,257.38508005723526,745.9373626649514,74.59373626649514,2103.2076369643933,5594.530219987135,286.9342915671498,50,25000,3,9944578
4,290.1585525340235,273.8184890306461,332.8632252095913,496.1091571180052,165.36971903933508,4229.827811735023,3720.818678385039,118.12223094830819,50,25000,3,9944578
6,212.9800233295434,178.28375377544987,307.92056944062193,686.5132533102203,137.30265066204407,2934.4783282874496,5148.849399826652,130.09916015657436,50,25000,3,9944578
5,443.03142952236436,187.75220517590407,331.5453064634345,440.32483476051476,110.08120869012869,4730.877260237014,3302.4362607038606,152.99674821729624,50,25000,3,9925823
4,428.2893935100412,156.67658528882106,266.50337561008405,507.20521690621615,169.06840563540538,4387.244840991467,3804.039126796621,126.85162267627597,50,25000,3,9925823
7,227.47032409291285,224.9617254670912,300.3315858671982,602.801767839737,100.46696130662282,3393.2403717000307,4521.013258798027,196.9579086689327,50,25000,3,9925823
6,211.18751174148147,67.78415834045411,252.10483946626024,803.9858905025795,160.7971781005159,2092.287525614517,6029.894178769347,165.93938619195225,50,25000,3,3820097
8,169.39632511828748,101.20365172999608,230.73503441856136,752.72190239052,107.53170034150286,2029.499826362127,5645.4142679289,198.9120962148067,50,25000,3,3820097
4,461.4034660677891,80.38001333038373,247.38488494862133,500.7230918016033,166.9076972672011,4063.3760954862964,3755.423188512025,124.72045590207152,50,25000,3,3820097
4,197.9140837459142,187.61292556156778,251.8954070518619,681.2198607504256,227.07328691680854,2891.4525698061148,5109.148955628192,112.90620992274111,50,25000,3,9535879
6,68.08890671666794,144.21180827286344,199.1583376441591,872.3980523394868,174.47961046789734,1592.2553624214852,6542.98539254615,154.4189725469176,50,25000,3,9535879
7,306.32926687153804,182.30691643187558,354.4151543862445,594.9920169035693,99.16533615059488,3664.7713747756025,4462.44012677677,202.76345056269088,50,25000,3,9535879
6,273.84668675140665,101.96101676663248,199.73871809954883,589.5320764121557,117.90641528243114,2818.5577763852934,4421.490573091168,152.0903166927973,50,25000,3,8271480
4,525.4239990109846,168.08206464981726,367.71391835060945,392.7936673327863,130.9312224442621,5201.295477456014,2945.9525049958975,69.39064645574172,50,25000,3,8271480
5,348.829327370942,73.42751706538117,180.04397187342687,607.5833692473461,151.89584231183653,3166.9263332724236,4556.875269355096,171.48507868716442,50,25000,3,8271480
5,337.1788267525655,171.9344203483549,326.4074175377791,583.551603183804,145.887900795951,3818.3493532569028,4376.63702387853,130.8317224434895,50,25000,3,6394530
