M,Emax,K,n_chains,uniform_w,n,d_first,d_last,d_centroid,hop,Rg2,E_excursion,E_tour,E_hover
50,50000,2,24,0,15.833333333333334,375.8247909940178,131.61479882226476,278.3878162207197,116.04978956601106,60553.58661347008,3805.7969236221197,12718.380697395114,443.4943703124466
50,50000,3,36,0,13.38888888888889,336.50769956712895,144.12826171698055,296.3424206392212,127.83831672192893,57336.949718129654,3604.7697096308216,11636.252030626963,380.44509303596556
50,50000,4,48,0,9.270833333333334,356.0848097015625,163.6220468220925,307.2425245296759,130.27228287520595,41069.17155726111,3897.8014239274125,7820.774120178884,266.4431746583553
50,50000,5,60,0,6.466666666666667,378.86739557951125,166.14716969366535,315.9451299367657,140.33252842563192,28346.97930877251,4087.609239548824,5417.893288424908,182.33222032680644
50,50000,6,71,0,4.830985915492958,364.89362606318804,183.00477476633665,295.82216768413883,141.3966246421206,19596.968600002878,4109.238006221435,3712.3528617524244,138.30303385061094
50,50000,8,90,0,3.011111111111111,321.8772017103339,191.15709763447387,254.04574226534447,118.50726731402867,8698.79103512012,3847.757245086059,1690.521090102146,86.99061969216488
50,50000,10,69,0,2.260869565217391,268.6297494560771,161.35266002365012,213.50682994623452,117.68997725143441,5154.172287459612,3224.8680710979543,1052.1648895362127,64.7187540844961
100,50000,2,24,0,23.375,363.5776596538392,112.99193121098159,297.8103249137578,79.12473543064296,55334.89442296973,3574.2719314861556,13168.826633359307,674.1464959754651
100,50000,3,36,0,20.166666666666668,334.79340443238,104.7826585093222,311.4344075026931,87.9709875201499,48926.079910953915,3296.8204720627673,12497.13621251683,574.9432903599502
100,50000,4,48,0,13.333333333333334,326.72203524084375,123.08963555256055,314.1064423556467,98.10321680684444,35331.912530567664,3373.587530950532,8658.931927396892,380.36539814208226
100,50000,5,60,0,8.983333333333333,321.63620944156435,137.12807719993285,306.5217114713602,108.36110323001579,24920.35013584419,3440.7321498112287,6131.756362694448,250.30973398493782
100,50000,6,72,0,7.166666666666667,330.9526424116616,141.91852611366252,290.2596065840787,102.93712960179376,18571.909978069263,3546.5337639399313,4481.605378055203,205.273050529249
100,50000,8,95,0,4.4526315789473685,312.8401101218855,156.22331704227364,247.72488837376505,104.83344944348116,9766.081477210924,3517.975703731194,2385.533160435272,125.20709437298888
100,50000,10,108,0,3.0,264.5773859930797,144.20081104704798,206.42592123301677,106.84373372835245,6229.44754360889,3065.836477800958,1412.1357954289783,83.41434089710137
200,50000,2,24,0,33.166666666666664,417.8774914035807,70.86211062256467,304.552004532525,56.69753294363439,43855.946866199425,3665.5470151960894,13517.086798594346,926.4531044224145
200,50000,3,36,0,28.38888888888889,309.66492463394957,72.61156026984115,309.5548419802141,64.29327761981985,41862.38854575523,2867.07363677843,12978.018516045995,780.0336472749796
200,50000,4,48,0,17.75,298.27492887722093,87.9338842618785,309.7516045152317,74.54023860023746,29574.84738331719,2896.5660985432455,9083.454884291452,498.05605313366544
200,50000,5,60,0,12.7,298.371852508405,90.32055521507746,302.75663392943,79.70524605010111,22453.5066544485,2915.193057926119,6702.753350178252,355.4929947008263
200,50000,6,72,0,9.222222222222221,328.16301107877285,110.05478477844187,286.8458527848713,82.62849439269606,17017.40398632083,3286.6334689291107,4760.77532523024,259.99169922088134
200,50000,8,96,0,6.020833333333333,280.6052911498494,109.97221239952705,225.85430077916922,90.66883565245114,11520.952466279065,2929.3312766203235,3081.021414067074,168.0113633042827
200,50000,10,119,0,4.470588235294118,246.94764755693367,113.22418033678906,199.91164532254155,85.596734003041,6644.7861458222615,2701.2887092029214,2020.4638275728041,122.49727090925433
