n,d_first,d_last,d_mean,d_centroid,tour_len,hop,Rg2,E_excursion,E_tour,E_hover,M,Emax,K,seed,uniform_w
18,121.75443024662259,179.34654506109607,338.8852231448615,291.5972032254212,1544.3409045521337,90.84358262071375,41648.83489594859,2258.25731480789,11582.556784141003,534.985592854357,50,50000,2,4474730,0
16,392.9209138733534,233.7208030273099,335.5018828214862,196.82086905292002,1630.8993138265664,108.7266209217711,87733.24543136774,4699.812876754975,12231.744853699249,472.88287193716377,50,50000,2,4474730,0
20,493.1125742226843,107.88394399518006,332.4999882498591,261.91205083356914,1611.1431977741597,84.7970104091663,51014.894463262506,4507.473886633983,12083.573983306198,512.0196517687559,50,50000,2,9944578,0
13,366.5082640337072,178.28375377544987,354.6716144064286,228.94402771181123,1709.9002915002727,142.49169095835606,86285.00890449248,4085.940133568678,12824.252186252046,320.34874973099915,50,50000,2,9944578,0
20,374.04770906570695,187.75220517590407,343.0162116446596,317.99777105396845,1697.3932030633591,89.33648437175574,24789.941007471112,4213.499356812083,12730.449022975194,609.4714720236123,50,50000,2,9925823,0
16,484.1403702012258,156.67658528882106,451.5673420086666,406.30716825942375,1763.7374298854495,117.58249532569663,57395.428227925666,4806.127166175352,13228.030724140872,418.59799691642,50,50000,2,9925823,0
14,584.7428631912446,67.78415834045411,335.15544449776377,171.49127233010282,1708.4157584525651,131.41659680404348,99689.66734199112,4893.95266148774,12813.118188394239,381.7081052749388,50,50000,2,3820097,0
16,544.0113542309882,80.38001333038373,407.00469068223356,306.1647154194493,1851.2047808909083,123.41365205939388,98778.10725526737,4682.93525671029,13884.035856681812,389.13158106449026,50,50000,2,3820097,0
15,397.2996642919975,133.70431831584054,339.3054946477825,308.07136559047234,1728.0797071875863,123.43426479911331,49112.85032362444,3982.529869558785,12960.597803906898,442.93819131747097,50,50000,2,9535879,0
17,336.36514656307327,68.08890671666794,384.8819720585893,353.0681940584725,1745.869551187906,109.11684694924412,40207.66803239249,3033.405399598059,13094.021633909295,439.1192404908206,50,50000,2,9535879,0
15,376.968602285287,87.59077363878522,391.06993759655853,332.91752995731906,1577.1751511961954,112.65536794258539,67091.59444551176,3484.1953194305415,11828.813633971466,449.6442720477285,50,50000,2,8271480,0
16,414.0445894973806,78.18233191857247,279.12571073832737,183.46779394550447,1710.5603557958439,114.03735705305625,66434.39338898365,3691.701910619648,12829.202668468828,410.0402786691507,50,50000,2,8271480,0
16,171.9344203483549,90.41342549758544,291.9466864741272,226.1844459374369,1561.6074188965333,104.10716125976889,42283.936000226226,1967.6088438445527,11712.055641724,445.4436319696476,50,50000,2,6394530,0
12,322.7938870883726,94.30083071389777,298.09240930199326,247.23269448753715,1435.5875178439812,130.50795616763466,46577.5238291613,3128.210383517028,10766.906383829859,429.89594748198874,50,50000,2,6394530,0
