n,d_first,d_last,d_mean,d_centroid,tour_len,hop,Rg2,E_excursion,E_tour,E_hover,M,Emax,K,seed,uniform_w
15,648.1678268316606,179.34654506109607,388.1112303071605,370.09718111020396,1257.1061602761179,89.79329716257985,31898.274425363885,6206.357789195675,9428.296202070884,494.8893352138767,50,50000,2,4474730,1
12,152.4944418427394,156.76310920803283,262.3356029731944,180.16522971066718,1437.9229350947185,130.7202668267926,47769.23418821307,2319.4316328807918,10784.42201321039,375.629566994803,50,50000,2,4474730,1
21,561.7906297985179,107.88394399518006,297.1794103189021,90.82774217674744,1822.1802920139417,91.10901460069708,88158.60650275555,5022.559303452735,13666.352190104562,554.9612603471148,50,50000,2,9944578,1
17,523.333861781804,172.5437409334057,417.86875897598395,248.68398505370473,1672.9263414742948,104.55789634214342,123085.6060491731,5219.082020364073,12546.94756105721,505.92286489481637,50,50000,2,9944578,1
18,352.93341413440663,155.49351903369484,336.4300660746192,312.1419761423832,1638.720814521336,96.39534203066682,26150.802639870948,3813.201998760761,12290.40610891002,578.7194674506405,50,50000,2,9925823,1
13,341.19086784311486,156.67658528882106,353.2073564509234,309.19263780268216,1473.3993437114784,122.7832786426232,41613.59175745688,3734.0058984895195,11050.495077836089,297.3205326630716,50,50000,2,9925823,1
16,544.0113542309882,67.78415834045411,425.12268097798983,312.9320303139579,1819.8402879080813,121.32268586053875,109038.48487785351,4588.466344285818,13648.80215931061,416.2122694867684,50,50000,2,3820097,1
18,399.83554624440177,80.38001333038373,268.82186402431324,168.8079135336454,1749.4080817677996,102.90635775104704,56100.3587930453,3601.6166968108914,13120.560613258496,543.1225129947663,50,50000,2,3820097,1
18,397.2996642919975,68.08890671666794,371.9023898555304,279.9638562859072,1854.5241426853438,109.08965545207904,71028.57844542818,3490.4142825649906,13908.93107014008,473.43832281869174,50,50000,2,9535879,1
15,412.5985585062587,144.21180827286344,288.91188442723313,223.9263622574755,1655.8161320638865,118.27258086170617,49144.770540247824,4176.077750843417,12418.620990479149,409.57744056679684,50,50000,2,9535879,1
16,337.0751981584346,73.42751706538117,238.89527495815776,102.7300430899275,1790.7200964558772,119.38133976372515,57522.998813337545,3078.7703641786184,13430.40072341908,386.4271596334321,50,50000,2,8271480,1
15,560.4781541303968,87.59077363878522,347.2652209120079,276.6101785032281,1423.2724826688138,101.66232019062956,63065.9626449652,4860.516958268865,10674.543620016104,445.8294129613347,50,50000,2,8271480,1
13,500.2142085368703,116.42997160506894,324.1541124945537,257.2088326747372,1627.6535576864069,135.63779647386724,71366.04715115347,4624.831351064544,12207.401682648051,365.26506806098996,50,50000,2,6394530,1
14,453.92943114643293,188.67976425510315,329.7940970251442,307.873461371296,1298.9114723504056,99.91626710387735,21407.793973953976,4819.568965511521,9741.836042628041,348.7291759647352,50,50000,2,6394530,1
16,183.60918731452415,93.44020521751663,352.9782028366267,317.844665298983,1574.0848345782317,104.93898897188211,45087.76963402009,2077.870443990306,11805.636259336738,416.4083503621312,50,50000,2,8372552,1
16,381.69059191975776,95.57982979947124,407.9495097293922,321.3006401176804,1721.7478103500032,114.78318735666689,80075.20994360224,3579.5281628942175,12913.108577625024,418.8572935343792,50,50000,2,8372552,1
15,576.2955061991509,63.96320652600642,384.8464412730157,326.2747635738729,1801.6054790064975,128.68610564332124,69280.71445442115,4801.940345438679,13512.04109254873,390.4269680909259,50,50000,2,7662622,1
14,518.0802978283281,71.09015932647836,348.70180355811215,289.26597667252366,1798.8774699229334,138.3751899940718,59816.074246394914,4418.778428661048,13491.581024422001,452.2503471107014,50,50000,2,7662622,1
15,278.3498856260079,78.53264480063629,316.9943595682911,276.80348919688953,1745.6723132717625,124.69087951941161,36528.278462527305,2676.6189781998314,13092.542349538218,435.71646958569437,50,50000,2,9758090,1
15,450.58218779784875,145.1777361591754,363.0081876453762,317.62225924965,1781.3760824568633,127.24114874691881,47886.121787340846,4468.199429677681,13360.320618426475,492.1709329576457,50,50000,2,9758090,1
20,265.15785338796803,42.07030744660153,351.54018551064536,297.22966268114135,1800.84901541455,94.78152712708157,62833.48349759625,2304.211206259272,13506.367615609124,493.8218752470595,50,50000,2,3862201,1
15,271.9601357029048,49.535964741009046,321.01500579372106,240.8717468351917,1865.2472258714367,133.23194470510262,65551.4700127312,2411.2207533293536,13989.354194035775,411.8851217665064,50,50000,2,3862201,1
14,551.4181871446189,112.25548798912229,352.8096103543395,327.21743228318763,1557.9534384297979,119.84257218690753,37853.04998990497,4977.552563503059,11684.650788223484,419.1619185398384,50,50000,2,772250,1
24,370.7459444060427,119.73801162330825,308.7116707795878,237.3441153221504,1710.7730000091092,74.38143478300475,49136.99862756514,3678.629670220132,12830.797500068318,711.2056304588015,50,50000,2,772250,1
13,185.14879995759392,121.75443024662259,292.6838847832712,218.33267135982072,1418.8512690123462,118.23760575102885,45719.101185467094,2301.7742265316238,10641.384517592596,416.87760104347024,50,50000,3,4474730,1
15,493.6890990026389,152.4944418427394,404.9667459360951,316.04330593594096,1434.6999969008193,102.47857120720138,74960.7322707247,4846.376556340337,10760.249976756146,397.31293231615075,50,50000,3,4474730,1
18,322.0643555757218,156.76310920803283,361.16564127935754,325.98180257310094,1467.9635106906032,86.35079474650607,39018.09023759266,3591.20598587816,11009.726330179525,517.443473176288,50,50000,3,4474730,1
18,462.38093174941343,107.88394399518006,331.5373408670572,238.26443972596692,1391.3989084445177,81.84699461438339,63447.33623901427,4276.986568084451,10435.491813333883,429.69819638072175,50,50000,3,9944578,1
14,376.77545738431616,172.5437409334057,399.78363434923045,335.0343507776635,1182.260325151478,90.94310193472907,58080.30025605209,4119.893987382914,8866.952438636084,426.73879286108536,50,50000,3,9944578,1
15,211.01134558364893,178.28375377544987,353.08106653769676,273.72777514807007,1548.7503523496293,110.62502516783067,65258.6022171974,2919.713245193241,11615.62764262222,401.0882591347643,50,50000,3,9944578,1
13,286.8901728291016,155.49351903369484,319.53545807607344,293.76478537022433,1478.3740018161195,123.19783348467662,26389.825395779808,3317.877688970973,11087.805013620897,346.4343243945311,50,50000,3,9925823,1
9,631.1542508982312,194.15735081237236,347.45131247906215,251.23730777200018,1214.5123317201844,151.81404146502305,79323.31567233494,6189.837012829526,9108.842487901384,180.27454196906524,50,50000,3,9925823,1
13,376.7124251353017,168.10777912304764,334.79462222141774,271.0124954672296,1514.4537339801911,126.2044778316826,47506.14880578496,4086.1515319376203,11358.403004851434,471.0199638598659,50,50000,3,9925823,1
13,396.35804276918094,67.78415834045411,407.0890018838103,365.03350497414425,1373.1860564024291,114.4321713668691,62835.86210870499,3481.066508322263,10298.895423018219,364.5507394118012,50,50000,3,3820097,1
15,584.7428631912446,80.38001333038373,288.9237123696706,240.30365044666303,1354.030127704897,96.71643769320693,46916.47492514936,4988.421573912212,10155.225957786728,390.7383943338862,50,50000,3,3820097,1
13,483.8935970769919,101.20365172999608,353.4934819133184,200.6825884004436,1576.229801680067,131.35248347333894,97751.3598848482,4388.22936605241,11821.723512600503,381.3545843702666,50,50000,3,3820097,1
14,640.978558427567,68.08890671666794,376.3873607313021,354.1612343839922,1391.1079480550736,107.00830369654412,34857.080391382995,5318.005988581762,10433.309610413053,383.0253297914179,50,50000,3,9535879,1
10,552.4027285318269,133.70431831584054,362.9551211332662,279.0624564209143,1192.88628663789,132.54292073754334,75747.31361427253,5145.8028513575055,8946.647149784174,314.78072889594495,50,50000,3,9535879,1
16,612.2964060742055,144.21180827286344,363.63287031444344,315.24698402566116,1187.9636421908572,79.19757614605714,53826.25289387811,5673.811607603017,8909.727316431428,477.3669973540979,50,50000,3,9535879,1
12,448.2547652858508,73.42751706538117,296.56320012331855,268.82776988431146,1418.6367972129817,128.9669815648165,37865.29400218831,3912.6171176342395,10639.775979097363,295.12686825586013,50,50000,3,8271480,1
13,643.7331655318559,78.18233191857247,418.8322840334692,406.3407022558158,1074.2905629654383,89.52421358045319,38389.29417563434,5414.366230878212,8057.179222240788,414.15660263871246,50,50000,3,8271480,1
16,306.3194098665878,87.59077363878522,295.13766188968594,237.34163176651163,1675.618779921745,111.70791866144967,39292.04532911822,2954.3263762902975,12567.140849413088,412.2761015354325,50,50000,3,8271480,1
14,258.6029381944674,90.41342549758544,384.20153348035683,324.18206753761973,1780.4428536324983,136.95714258711524,60246.6398633995,2617.6227276903965,13353.321402243737,472.55517700307746,50,50000,3,6394530,1
12,226.71847669953874,94.30083071389777,301.7193241613051,214.301219859846,1642.5100264524801,149.31909331386183,65006.640022918196,2407.644805600774,12318.8251983936,359.6552362184051,50,50000,3,6394530,1
17,471.86679668558844,116.42997160506894,319.06880185459914,263.7384257472078,1447.7889424486966,90.48680890304354,40838.20386067846,4412.225762179931,10858.417068365225,484.8230329703072,50,50000,3,6394530,1
13,381.69059191975776,93.44020521751663,424.26920976937487,366.2541104966563,1539.7779261246565,128.3148271770547,64999.634740083726,3563.480978529558,11548.334445934923,339.17860990495024,50,50000,3,8372552,1
11,481.6988220573506,95.57982979947124,417.9644769060985,388.1299598988464,1554.1478261312993,155.41478261312994,54678.847272625004,4329.589888926164,11656.108695984745,323.432342371431,50,50000,3,8372552,1
15,183.60918731452415,131.7353038112792,370.28073601123396,342.9414600268489,1445.126289253962,103.223306375283,37662.951150492554,2365.0836834435254,10838.447169404715,404.7044147176618,50,50000,3,8372552,1
