n,d_first,d_last,d_mean,d_centroid,tour_len,hop,Rg2,E_excursion,E_tour,E_hover,M,Emax,K,seed,uniform_w
18,121.75443024662259,179.34654506109607,338.8852231448615,291.5972032254212,1544.3409045521337,90.84358262071375,41648.83489594859,2258.25731480789,11582.556784141003,534.985592854357,50,50000,2,4474730,0
16,392.9209138733534,233.7208030273099,335.5018828214862,196.82086905292002,1630.8993138265664,108.7266209217711,87733.24543136774,4699.812876754975,12231.744853699249,472.88287193716377,50,50000,2,4474730,0
19,401.5239844985966,107.88394399518006,385.22674057108196,318.87557308610724,1780.5295451599793,98.9183080644433,57752.51071680475,3820.5594637033246,13353.971588699846,446.17529884589356,50,50000,2,9944578,0
15,541.5831339200857,178.28375377544987,354.5924872511578,228.43339228133866,1764.0642657113137,126.00459040795099,87363.76238444258,5399.001657716517,13230.481992834853,412.07099559375877,50,50000,2,9944578,0
20,374.04770906570695,187.75220517590407,343.0162116446596,317.99777105396845,1697.3932030633591,89.33648437175574,24789.941007471112,4213.499356812083,12730.449022975194,609.4714720236123,50,50000,2,9925823,0
16,484.1403702012258,156.67658528882106,451.5673420086666,406.30716825942375,1763.7374298854495,117.58249532569663,57395.428227925666,4806.127166175352,13228.030724140872,418.59799691642,50,50000,2,9925823,0
14,584.7428631912446,67.78415834045411,335.15544449776377,171.49127233010282,1708.4157584525651,131.41659680404348,99689.66734199112,4893.95266148774,12813.118188394239,381.7081052749388,50,50000,2,3820097,0
16,544.0113542309882,80.38001333038373,407.00469068223356,306.1647154194493,1851.2047808909083,123.41365205939388,98778.10725526737,4682.93525671029,13884.035856681812,389.13158106449026,50,50000,2,3820097,0
15,397.2996642919975,133.70431831584054,339.3054946477825,308.07136559047234,1728.0797071875863,123.43426479911331,49112.85032362444,3982.529869558785,12960.597803906898,442.93819131747097,50,50000,2,9535879,0
17,336.36514656307327,68.08890671666794,384.8819720585893,353.0681940584725,1745.869551187906,109.11684694924412,40207.66803239249,3033.405399598059,13094.021633909295,439.1192404908206,50,50000,2,9535879,0
14,399.75750793389335,101.96101676663248,350.9968287646139,272.42326745339733,1637.542133110156,125.964779470012,69192.75084791279,3762.888935253944,12281.56599832617,338.16871814479015,50,50000,2,8271480,0
15,507.1219990474286,207.3797166328998,331.754900773901,222.87426457646293,1360.065482483492,97.14753446310657,76232.88003482275,5358.762867602463,10200.491118626189,431.4662384518943,50,50000,2,8271480,0
19,196.17030474601603,171.9344203483549,293.10411627533284,213.8040875955801,1720.7336083019209,95.59631157232894,48334.790537029636,2760.7854382077817,12905.502062264406,513.3821294334307,50,50000,2,6394530,0
14,541.4098095009869,116.42997160506894,331.2960528799412,278.7556572056659,1782.2283610226732,137.0944893094364,55379.005366237194,4933.798358295418,13366.712707670049,483.8021251603479,50,50000,2,6394530,0
