M,Emax,K,n_chains,uniform_w,n,d_first,d_last,d_centroid,hop,Rg2,E_excursion,E_tour,E_hover
50,50000,2,16,1,16.6875,433.53602992838614,112.11201377207438,259.1832893693193,110.37093312362089,72864.0880516671,4092.360327753454,12579.458318887531,478.6291040870022
50,50000,3,24,1,13.833333333333334,417.4580494892711,119.33146312267955,295.4144458439792,114.45264225386786,54609.056104805095,4025.9213445896294,10720.31509277527,391.85888520454984
50,50000,4,32,1,9.5625,432.7001096683773,129.42153159519432,316.2503298525255,119.36986016703952,35344.17836244395,4215.912309476787,7174.469464602165,269.30613402176687
50,50000,5,40,1,6.925,441.0117342465778,149.90546842655277,310.5914162581715,106.62474473210057,22061.75148619078,4431.879020048479,4518.90434281638,192.50698180315572
50,50000,6,48,1,5.25,407.4907927584001,149.29259539021697,300.1965193733214,117.70474907116403,17485.10125959616,4175.875411114627,3447.103402733969,151.1984289884281
100,50000,2,16,1,24.25,339.5706608057143,81.38647675793781,276.46738570602304,77.31559191136915,53879.32934053778,3157.1785317273907,13383.670575976912,682.0055881939467
100,50000,3,24,1,21.833333333333332,346.5496590560695,89.40491583650635,313.66952218196667,78.820517555451,43895.55513120999,3269.65931169432,12235.65485213954,624.26886814715
100,50000,4,32,1,15.0,372.5040646989827,95.14854295395821,317.1857640216653,78.81053915225341,28006.466247061893,3507.394557397057,8081.436698923797,425.83235807727283
100,50000,5,40,1,11.025,375.94300187201804,101.86485608756496,297.9391635582122,78.35277673698968,19264.669293737206,3583.5589346968727,5695.663513323563,315.4053265838446
100,50000,6,48,1,7.770833333333333,396.5274907542853,109.59251953386725,278.42861141621455,79.3975336260349,15321.710403670992,3795.900077161144,3861.7146399301296,222.82228688076574
200,50000,2,16,1,36.9375,373.45854592404726,59.320230133247975,275.8602043943562,51.021056773561455,42556.305006086135,3245.8408204297148,13618.61952315408,1030.4114499307148
200,50000,3,24,1,32.375,351.4024132346038,66.09299582607241,300.62590345781365,53.7595837577774,34691.243263320095,3131.215567955072,12491.22789515218,913.8483892593827
200,50000,4,32,1,22.5625,333.7850202193129,71.23700052947369,292.6685347553203,54.203764256591064,24944.327019653872,3037.6651556158995,8679.108598330262,650.3034651928205
200,50000,5,40,1,16.475,346.55749723853285,75.75987592103489,271.4837769837686,54.31091610970839,17838.640620955353,3167.380298696759,6198.310944594705,472.8264642450912
200,50000,6,48,1,12.458333333333334,323.7189349432608,80.12195345707606,251.48088289182752,56.651785405050155,13139.8240562539,3028.8066630025264,4723.8360416880305,357.20080328777277
