n,d_first,d_last,d_mean,d_centroid,tour_len,hop,Rg2,E_excursion,E_tour,E_hover,M,Emax,K,seed,uniform_w
18,322.0643555757218,121.75443024662259,303.14637234579783,209.8301361803235,1609.1889404532862,94.65817296784037,55147.20400301527,3328.6408936675825,12068.917053399648,527.6895880565021,50,50000,2,4474730,1
16,648.1678268316606,152.4944418427394,370.8050928532621,306.5571652379574,1461.3052578742195,97.42035052494796,66393.86578983281,6004.9670150580005,10959.789434056645,537.2215087319445,50,50000,2,4474730,1
21,561.7906297985179,107.88394399518006,297.1794103189021,90.82774217674744,1822.1802920139417,91.10901460069708,88158.60650275555,5022.559303452735,13666.352190104562,554.9612603471148,50,50000,2,9944578,1
17,523.333861781804,172.5437409334057,417.86875897598395,248.68398505370473,1672.9263414742948,104.55789634214342,123085.6060491731,5219.082020364073,12546.94756105721,505.92286489481637,50,50000,2,9944578,1
21,168.10777912304764,155.49351903369484,329.1500105635796,302.58739678783866,1702.3214682249031,85.11607341124515,28617.064206163133,2427.0097361755684,12767.411011686774,656.0901686413627,50,50000,2,9925823,1
11,631.1542508982312,194.15735081237236,358.749174499711,259.04372765771325,1546.178785919714,154.61787859197142,80140.03083168181,6189.837012829526,11596.340894397856,237.6959067774504,50,50000,2,9925823,1
16,544.0113542309882,67.78415834045411,425.12268097798983,312.9320303139579,1819.8402879080813,121.32268586053875,109038.48487785351,4588.466344285818,13648.80215931061,416.2122694867684,50,50000,2,3820097,1
18,399.83554624440177,80.38001333038373,268.82186402431324,168.8079135336454,1749.4080817677996,102.90635775104704,56100.3587930453,3601.6166968108914,13120.560613258496,543.1225129947663,50,50000,2,3820097,1
22,412.5985585062587,68.08890671666794,380.00780484967834,246.72232068068715,1849.656542249517,88.07888296426272,93168.70220182539,3605.15598917195,13872.424066871377,610.6589006665207,50,50000,2,9535879,1
10,552.4027285318269,133.70431831584054,362.9551211332662,279.0624564209143,1192.88628663789,132.54292073754334,75747.31361427253,5145.8028513575055,8946.647149784174,314.78072889594495,50,50000,2,9535879,1
13,448.2547652858508,87.59077363878522,280.48839808604674,241.55667655129835,1535.400585086947,127.9500487572456,43902.38047384284,4018.8415419347702,11515.504388152103,330.51689742602156,50,50000,2,8271480,1
19,328.05451314055637,78.18233191857247,384.9401830169231,329.82238820660336,1821.798305124812,101.21101695137844,61568.740850731265,3046.7763379434664,13663.48728843609,579.7095884536519,50,50000,2,8271480,1
15,569.6356332770564,90.41342549758544,412.67122482296367,328.8478898107993,1842.598300842871,131.61416434591936,80031.90992347932,4950.367940809813,13819.487256321532,482.35012277547565,50,50000,2,6394530,1
17,261.8648963939742,94.30083071389777,312.5490721308676,204.5061833451957,1795.7083424137636,112.23177140086023,72514.9557759796,2671.24295330904,13467.812568103227,503.33756805861094,50,50000,2,6394530,1
17,183.60918731452415,93.44020521751663,343.4358615106062,295.8439778340422,1693.0321186180227,105.81450741362642,52134.974989419774,2077.870443990306,12697.74088963517,438.9384856507045,50,50000,2,8372552,1
16,381.69059191975776,95.57982979947124,407.9495097293922,321.3006401176804,1721.7478103500032,114.78318735666689,80075.20994360224,3579.5281628942175,12913.108577625024,418.8572935343792,50,50000,2,8372552,1
13,185.14879995759392,121.75443024662259,292.6838847832712,218.33267135982072,1418.8512690123462,118.23760575102885,45719.101185467094,2301.7742265316238,10641.384517592596,416.87760104347024,50,50000,3,4474730,1
15,493.6890990026389,152.4944418427394,404.9667459360951,316.04330593594096,1434.6999969008193,102.47857120720138,74960.7322707247,4846.376556340337,10760.249976756146,397.31293231615075,50,50000,3,4474730,1
18,322.0643555757218,156.76310920803283,361.16564127935754,325.98180257310094,1467.9635106906032,86.35079474650607,39018.09023759266,3591.20598587816,11009.726330179525,517.443473176288,50,50000,3,4474730,1
18,462.38093174941343,107.88394399518006,331.5373408670572,238.26443972596692,1391.3989084445177,81.84699461438339,63447.33623901427,4276.986568084451,10435.491813333883,429.69819638072175,50,50000,3,9944578,1
14,376.77545738431616,172.5437409334057,399.78363434923045,335.0343507776635,1182.260325151478,90.94310193472907,58080.30025605209,4119.893987382914,8866.952438636084,426.73879286108536,50,50000,3,9944578,1
15,211.01134558364893,178.28375377544987,353.08106653769676,273.72777514807007,1548.7503523496293,110.62502516783067,65258.6022171974,2919.713245193241,11615.62764262222,401.0882591347643,50,50000,3,9944578,1
13,286.8901728291016,155.49351903369484,319.53545807607344,293.76478537022433,1478.3740018161195,123.19783348467662,26389.825395779808,3317.877688970973,11087.805013620897,346.4343243945311,50,50000,3,9925823,1
9,631.1542508982312,194.15735081237236,347.45131247906215,251.23730777200018,1214.5123317201844,151.81404146502305,79323.31567233494,6189.837012829526,9108.842487901384,180.27454196906524,50,50000,3,9925823,1
13,376.7124251353017,168.10777912304764,334.79462222141774,271.0124954672296,1514.4537339801911,126.2044778316826,47506.14880578496,4086.1515319376203,11358.403004851434,471.0199638598659,50,50000,3,9925823,1
13,396.35804276918094,67.78415834045411,407.0890018838103,365.03350497414425,1373.1860564024291,114.4321713668691,62835.86210870499,3481.066508322263,10298.895423018219,364.5507394118012,50,50000,3,3820097,1
15,584.7428631912446,80.38001333038373,288.9237123696706,240.30365044666303,1354.030127704897,96.71643769320693,46916.47492514936,4988.421573912212,10155.225957786728,390.7383943338862,50,50000,3,3820097,1
13,483.8935970769919,101.20365172999608,353.4934819133184,200.6825884004436,1576.229801680067,131.35248347333894,97751.3598848482,4388.22936605241,11821.723512600503,381.3545843702666,50,50000,3,3820097,1
14,640.978558427567,68.08890671666794,376.3873607313021,354.1612343839922,1391.1079480550736,107.00830369654412,34857.080391382995,5318.005988581762,10433.309610413053,383.0253297914179,50,50000,3,9535879,1
10,552.4027285318269,133.70431831584054,362.9551211332662,279.0624564209143,1192.88628663789,132.54292073754334,75747.31361427253,5145.8028513575055,8946.647149784174,314.78072889594495,50,50000,3,9535879,1
16,612.2964060742055,144.21180827286344,363.63287031444344,315.24698402566116,1187.9636421908572,79.19757614605714,53826.25289387811,5673.811607603017,8909.727316431428,477.3669973540979,50,50000,3,9535879,1
12,448.2547652858508,73.42751706538117,296.56320012331855,268.82776988431146,1418.6367972129817,128.9669815648165,37865.29400218831,3912.6171176342395,10639.775979097363,295.12686825586013,50,50000,3,8271480,1
13,643.7331655318559,78.18233191857247,418.8322840334692,406.3407022558158,1074.2905629654383,89.52421358045319,38389.29417563434,5414.366230878212,8057.179222240788,414.15660263871246,50,50000,3,8271480,1
16,306.3194098665878,87.59077363878522,295.13766188968594,237.34163176651163,1675.618779921745,111.70791866144967,39292.04532911822,2954.3263762902975,12567.140849413088,412.2761015354325,50,50000,3,8271480,1
14,258.6029381944674,90.41342549758544,384.20153348035683,324.18206753761973,1780.4428536324983,136.95714258711524,60246.6398633995,2617.6227276903965,13353.321402243737,472.55517700307746,50,50000,3,6394530,1
12,226.71847669953874,94.30083071389777,301.7193241613051,214.301219859846,1642.5100264524801,149.31909331386183,65006.640022918196,2407.644805600774,12318.8251983936,359.6552362184051,50,50000,3,6394530,1
17,471.86679668558844,116.42997160506894,319.06880185459914,263.7384257472078,1447.7889424486966,90.48680890304354,40838.20386067846,4412.225762179931,10858.417068365225,484.8230329703072,50,50000,3,6394530,1
13,381.69059191975776,93.44020521751663,424.26920976937487,366.2541104966563,1539.7779261246565,128.3148271770547,64999.634740083726,3563.480978529558,11548.334445934923,339.17860990495024,50,50000,3,8372552,1
11,481.6988220573506,95.57982979947124,417.9644769060985,388.1299598988464,1554.1478261312993,155.41478261312994,54678.847272625004,4329.589888926164,11656.108695984745,323.432342371431,50,50000,3,8372552,1
15,183.60918731452415,131.7353038112792,370.28073601123396,342.9414600268489,1445.126289253962,103.223306375283,37662.951150492554,2365.0836834435254,10838.447169404715,404.7044147176618,50,50000,3,8372552,1
7,393.7897256104818,121.75443024662259,304.7697934772129,266.0546629747209,853.3721192250293,142.2286865375049,30223.125953110983,3866.581168928283,6400.29089418772,194.29065102933234,50,50000,4,4474730,1
10,427.89381258069847,152.4944418427394,369.2649415834453,329.66488602826576,939.2663132427795,104.36292369364216,39321.68683980995,4352.9119081757835,7044.497349320846,286.20382675748306,50,50000,4,4474730,1
11,322.0643555757218,156.76310920803283,351.5072069780095,327.5255161427326,1032.3337696776757,103.23337696776757,31500.008568890797,3591.20598587816,7742.503272582568,316.11160074871134,50,50000,4,4474730,1
13,514.1911646904704,179.34654506109607,331.22340108556665,326.64739025764277,721.1578527503104,60.09648772919254,16037.423814245687,5201.532823136748,5408.683895627329,423.91882244171455,50,50000,4,4474730,1
15,327.7691029483284,107.88394399518006,292.25396280794615,228.71677768030096,1130.3653854086292,80.74038467204494,37068.48396841281,3267.3978520763135,8477.740390564719,364.03319491075615,50,50000,4,9944578,1
11,537.4646896371733,172.5437409334057,393.7267212431956,361.43913750620237,871.537075842295,87.15370758422951,36769.617733086394,5325.0632292793425,6536.528068817213,364.7308799268559,50,50000,4,9944578,1
8,541.5831339200857,178.28375377544987,346.91459573526936,308.1240303267712,765.8695098673813,109.40992998105447,44953.119573446194,5399.001657716517,5744.02132400536,232.42955497716108,50,50000,4,9944578,1
7,568.9373098939302,211.01134558364893,360.128461740471,337.42819782991796,694.3522015956221,115.72536693260368,26661.376375621338,5849.614916081843,5207.641511967166,168.6587041576032,50,50000,4,9944578,1
9,407.3196494864211,155.49351903369484,360.43977864943736,331.4137249579295,893.6378368136396,111.70472960170495,34562.75475576297,4221.09876390087,6702.283776102297,223.4979617441325,50,50000,4,9925823,1
8,468.8614542363497,156.67658528882106,334.8078294670322,254.25577795301106,1019.27322532929,145.61046076132715,58835.37317121585,4691.53529643878,7644.549189969674,159.05584121981758,50,50000,4,9925823,1
12,424.91641778101825,168.10777912304764,366.5520673842259,346.92709489517887,943.3535112717241,85.75941011561127,25959.822534811785,4447.681476780494,7075.151334537931,361.59001376274443,50,50000,4,9925823,1
11,374.04770906570695,187.75220517590407,298.9609198416887,260.65342808613707,783.7559669243342,78.37559669243342,25980.173231839937,4213.499356812083,5878.169751932506,376.29485174952026,50,50000,4,9925823,1
9,578.3780964047762,67.78415834045411,340.64076088950395,321.8388263346128,887.7958117739978,110.97447647174972,37809.06269042496,4846.216910589228,6658.468588304983,274.86495240211786,50,50000,4,3820097,1
7,638.5495925759877,80.38001333038373,319.75272053615225,309.0758211953775,875.9434267342551,145.99057112237585,46632.741222449185,5391.972044297786,6569.575700506914,116.33552940203089,50,50000,4,3820097,1
