M,K,Ee,instances,n_seeds,seeds_used,SA_obj,mlp_pp_mean,mlp_pp_std,gap_pct_mean,gap_pct_std,mlp_rollout_mean,mlp_rollout_std,pp_seed7,gap_seed7,pp_seed42,gap_seed42,pp_seed123,gap_seed123
50,1,50000.0,12,3,7|42|123,-60.904,-41.69,0.429,31.55,0.7,-17.415,3.094,-41.746,31.46,-41.139,32.45,-42.186,30.73
50,2,25000.0,12,3,7|42|123,-107.362,-82.794,1.623,22.88,1.51,-68.902,2.552,-84.993,20.84,-81.127,24.44,-82.262,23.38
50,3,16666.7,12,3,7|42|123,-138.221,-111.081,1.549,19.64,1.12,-102.081,2.974,-111.491,19.34,-112.739,18.44,-109.012,21.13
50,4,12500.0,12,3,7|42|123,-152.201,-125.419,7.288,17.6,4.79,-115.221,6.082,-129.083,15.19,-131.93,13.32,-115.244,24.28
50,5,10000.0,12,3,7|42|123,-148.362,-128.344,2.992,13.49,2.02,-119.4,1.584,-129.253,12.88,-124.311,16.21,-131.468,11.39
50,6,8333.3,12,3,7|42|123,-138.503,-123.194,2.034,11.05,1.47,-116.453,2.219,-123.883,10.56,-125.269,9.56,-120.431,13.05
100,1,50000.0,12,3,7|42|123,-89.556,-64.728,1.626,27.72,1.82,-25.704,5.734,-63.179,29.45,-64.03,28.5,-66.974,25.22
100,2,25000.0,12,3,7|42|123,-158.289,-111.234,2.747,29.73,1.74,-79.813,2.566,-113.619,28.22,-112.697,28.8,-107.387,32.16
100,3,16666.7,12,3,7|42|123,-216.835,-177.723,3.865,18.04,1.78,-152.442,7.48,-182.444,15.86,-177.75,18.03,-172.976,20.23
100,4,12500.0,12,3,7|42|123,-235.451,-200.338,2.064,14.91,0.88,-165.613,1.611,-199.752,15.16,-198.155,15.84,-203.107,13.74
100,5,10000.0,12,3,7|42|123,-226.279,-204.588,2.398,9.59,1.06,-179.325,2.561,-205.322,9.26,-207.088,8.48,-201.354,11.02
100,6,8333.3,12,3,7|42|123,-221.899,-196.085,4.361,11.63,1.97,-175.167,4.254,-197.497,11.0,-190.18,14.29,-200.579,9.61
200,1,50000.0,12,3,7|42|123,-124.03,-78.51,5.519,36.7,4.45,-35.065,5.605,-71.083,42.69,-80.148,35.38,-84.3,32.03
200,2,25000.0,12,3,7|42|123,-226.285,-167.32,4.926,26.06,2.18,-50.475,6.127,-168.934,25.34,-172.381,23.82,-160.644,29.01
200,3,16666.7,12,3,7|42|123,-313.44,-274.052,6.447,12.57,2.06,-191.445,8.295,-272.029,13.21,-282.762,9.79,-267.365,14.7
200,4,12500.0,12,3,7|42|123,-348.387,-313.548,3.936,10.0,1.13,-248.796,2.229,-307.99,11.6,-316.085,9.27,-316.571,9.13
200,5,10000.0,12,3,7|42|123,-345.31,-325.931,2.424,5.61,0.7,-270.665,1.085,-324.425,6.05,-329.351,4.62,-324.016,6.17
200,6,8333.3,12,3,7|42|123,-322.423,-310.505,2.475,3.7,0.77,-269.365,3.791,-310.006,3.85,-313.755,2.69,-307.754,4.55
