M,K,RL_obj,SA_obj,gap_pct,scope,iters,restarts,instances
50,1,-42.69371553039551,-60.71787322644886,29.685093924208765,large,2500,2,12
50,2,-84.07662153015134,-108.99713872419078,22.86345998228354,large,2500,2,12
50,3,-112.44994085896809,-138.66118370275373,18.903086028729106,large,2500,2,12
50,4,-126.44284798431396,-153.77182018280772,17.772419007594763,large,2500,2,12
50,5,-128.85989637578328,-149.8834635509296,14.026608858022973,moderate,2500,2,12
50,6,-121.25562507680256,-141.88723324260786,14.540848879989127,moderate,2500,2,12
100,1,-67.22845622558594,-89.55551248747084,24.930968113223106,large,2500,2,12
100,2,-113.42782532653808,-158.28889960993726,28.34126359709865,large,2500,2,12
100,3,-172.45837684427897,-216.8347700090028,20.46553380847608,large,2500,2,12
100,4,-198.74418026631676,-235.45094859530494,15.589985323049207,large,2500,2,12
100,5,-200.38426390177406,-227.70374897685437,11.997819622134232,moderate,2500,2,12
100,6,-192.6618968653361,-221.898960796677,13.175845360596533,moderate,2500,2,12
200,1,-78.50191037394207,-124.03039729066444,36.70752324531111,large,2500,2,12
200,2,-160.67047045898437,-226.28458618888143,28.996281556326807,large,2500,2,12
200,3,-274.2259465983073,-313.4395965883653,12.510751805731998,moderate,2500,2,12
200,4,-315.1722859985352,-348.3868989285268,9.533829495926527,moderate,2500,2,12
200,5,-323.18850490112305,-345.31012780105726,6.40630584477936,small,2500,2,12
200,6,-309.7270897084554,-322.4226917745748,3.937564690699756,small,2500,2,12
