layout,M,Emax,seed,K,which,G_h,J,n_gray,gray_served_after,gray_lost,n_never,secs
paper,50,3000000.0,3,10,K_reach,0.0,122997.1087123972,0,0,0,0,103.82429885864258
paper,50,3000000.0,3,10,K_reach,3.0,528891.0337581798,0,0,0,0,94.16601729393005
paper,50,3000000.0,3,11,K_flight,0.0,115605.35553215342,2,2,0,0,117.45459628105164
paper,50,3000000.0,3,11,K_flight,3.0,957061.0575705111,2,0,2,0,98.14167833328247
paper,50,3000000.0,6,10,K_reach,0.0,118696.80379259246,0,0,0,0,102.75733065605164
paper,50,3000000.0,6,10,K_reach,3.0,501747.72325803264,0,0,0,0,89.59788131713867
paper,50,3000000.0,6,11,K_flight,0.0,112390.52627677433,1,1,0,0,109.553382396698
paper,50,3000000.0,6,11,K_flight,3.0,467398.2006472182,1,1,0,0,94.33941578865051
paper,100,3000000.0,12,8,K_reach,0.0,383252.9752276198,0,0,0,0,115.9100444316864
paper,100,3000000.0,12,8,K_reach,3.0,1158111.3898337658,0,0,0,0,101.8217442035675
paper,100,3000000.0,12,9,K_flight,0.0,349563.5078574251,1,1,0,0,124.75397324562073
paper,100,3000000.0,12,9,K_flight,3.0,1294696.2202305244,1,0,1,0,101.74346256256104
core,50,1500000.0,6,4,K_reach,0.0,114430.69447823451,0,0,0,0,65.48121452331543
core,50,1500000.0,6,4,K_reach,3.0,347235.5368668507,0,0,0,0,57.098633766174316
core,50,1500000.0,6,5,K_flight,0.0,89073.68049697175,1,1,0,0,91.79756140708923
core,50,1500000.0,6,5,K_flight,3.0,596387.1023958111,1,0,1,0,77.62339448928833
core,50,1500000.0,3,5,K_reach,0.0,100854.06815915913,0,0,0,0,93.91600894927979
core,50,1500000.0,3,5,K_reach,3.0,414742.7631464958,0,0,0,0,78.63631939888
core,50,1500000.0,3,6,K_flight,0.0,82898.72898083019,1,1,0,0,120.50540018081665
core,50,1500000.0,3,6,K_flight,3.0,584713.3487655957,1,0,1,0,101.77632904052734
core,50,3000000.0,12,10,K_reach,0.0,90141.20966781983,0,0,0,0,111.10676455497742
core,50,3000000.0,12,10,K_reach,3.0,389168.00628126983,0,0,0,0,95.60103964805603
core,50,3000000.0,12,11,K_flight,0.0,83485.39349120433,1,1,0,0,125.71250081062317
core,50,3000000.0,12,11,K_flight,3.0,673904.4702612329,1,0,1,0,151.01131010055542
