layout,M,Emax,L,n,exact,exact_lo,exact_hi,within1,w1_lo,w1_hi
core,50,1500000.0,12600.0,12,0.6666666666666666,0.34887550641881554,0.9007539088504167,1.0,0.7353515306029488,1.0
core,50,3000000.0,12600.0,12,0.5833333333333334,0.2766696856821058,0.8483477701915698,1.0,0.7353515306029488,1.0
core,100,1500000.0,12600.0,12,0.5833333333333334,0.2766696856821058,0.8483477701915698,0.6666666666666666,0.34887550641881554,0.9007539088504167
core,100,3000000.0,12600.0,12,0.4166666666666667,0.15165222980843013,0.7233303143178942,0.9166666666666666,0.6152038348490559,0.9978924067681397
core,200,1500000.0,12600.0,12,0.0,0.0,0.2646484693970512,0.0,0.0,0.2646484693970512
core,200,3000000.0,12600.0,12,0.08333333333333333,0.0021075932318602264,0.38479616515094406,0.08333333333333333,0.0021075932318602264,0.38479616515094406
paper,50,1500000.0,12600.0,12,0.9166666666666666,0.6152038348490559,0.9978924067681397,1.0,0.7353515306029488,1.0
paper,50,3000000.0,12600.0,12,0.6666666666666666,0.34887550641881554,0.9007539088504167,1.0,0.7353515306029488,1.0
paper,100,1500000.0,8000.0,8,0.875,0.47349032912479344,0.9968402764687481,1.0,0.6305833524471807,1.0
paper,100,1500000.0,10000.0,8,0.5,0.15701277048705795,0.842987229512942,1.0,0.6305833524471807,1.0
paper,100,1500000.0,12600.0,12,1.0,0.7353515306029488,1.0,1.0,0.7353515306029488,1.0
paper,100,1500000.0,16000.0,8,0.5,0.15701277048705795,0.842987229512942,1.0,0.6305833524471807,1.0
paper,100,1500000.0,20000.0,8,0.875,0.47349032912479344,0.9968402764687481,1.0,0.6305833524471807,1.0
paper,100,3000000.0,12600.0,12,0.9166666666666666,0.6152038348490559,0.9978924067681397,1.0,0.7353515306029488,1.0
paper,100,6000000.0,12600.0,12,0.4166666666666667,0.15165222980843013,0.7233303143178942,1.0,0.7353515306029488,1.0
paper,200,1500000.0,12600.0,12,0.75,0.4281415381218108,0.9451393554720072,1.0,0.7353515306029488,1.0
paper,200,3000000.0,12600.0,12,0.9166666666666666,0.6152038348490559,0.9978924067681397,1.0,0.7353515306029488,1.0
paper,400,1500000.0,12600.0,12,0.75,0.4281415381218108,0.9451393554720072,1.0,0.7353515306029488,1.0
ring,50,1500000.0,12600.0,12,0.6666666666666666,0.34887550641881554,0.9007539088504167,1.0,0.7353515306029488,1.0
ring,50,3000000.0,12600.0,12,0.0,0.0,0.2646484693970512,0.0,0.0,0.2646484693970512
ring,100,1500000.0,12600.0,12,0.9166666666666666,0.6152038348490559,0.9978924067681397,1.0,0.7353515306029488,1.0
ring,100,3000000.0,12600.0,12,0.0,0.0,0.2646484693970512,0.25,0.05486064452799272,0.5718584618781891
ring,200,1500000.0,12600.0,12,1.0,0.7353515306029488,1.0,1.0,0.7353515306029488,1.0
ring,200,3000000.0,12600.0,12,0.08333333333333333,0.0021075932318602264,0.38479616515094406,1.0,0.7353515306029488,1.0
