layout,M,Emax,K,seed,coord,replan,divert,q,belief,tau,planner,L,Th,J,n_diverts,J_age,J_event,n_replans,n_never,share_never,n_reach_inf,K_reach_i,K_commute_i,r_max,r_c,rmax_over_rc,regime_bnd,P_bar,dup_frac,trunc_frac,empty_frac,T_s_over_t_c,mean_n,catch_rate,T_rev,n_sorties,secs
paper,200,1500000.0,2,1,exclude,launch,0,0.0,prior,0.0,rr_sweep,12600.0,43200,10327702.956999235,0,6538485.781387081,3789217.1756121535,0,0,0.0,0,4.743723496829792,4.92766042576941,8098.861339634391,3976.6925912985034,2.036582198321214,2.041254706017181,325.26340884087773,0.0,0.0,0.0,3.6841995458242187,15.277777777777779,0.20876149269875607,12003.243254017189,36,0.16002988815307617
paper,200,1500000.0,4,1,exclude,launch,0,0.0,prior,0.0,rr_sweep,12600.0,43200,6882074.8225687165,0,3890383.974846198,2991690.8477225183,0,0,0.0,0,4.743723496829792,5.061621099119985,8098.861339634391,3876.978125261103,2.0889623510808324,2.0383417921112152,323.446103173419,0.0,0.004901960784313725,0.0,1.7627917937586317,6.281045751633987,0.35647382920110193,6844.113418501027,153,0.16152691841125488
paper,200,1500000.0,3,1,exclude,launch,0,0.0,prior,0.0,rr_sweep,12600.0,43200,8166281.173026414,0,4771472.294585681,3394808.878440734,0,0,0.0,0,4.743723496829792,4.934722849556926,8098.861339634391,3972.630301507775,2.0386647447562747,2.0404176620561794,324.7406734555337,0.0,0.02631578947368421,0.0,2.34680891919773,9.105882352941176,0.2900385250412768,8404.057585824485,85,0.21453213691711426
paper,200,1500000.0,2,2,exclude,launch,0,0.0,prior,0.0,rr_sweep,12600.0,43200,11754202.028576197,0,7761830.030504506,3992371.9980716896,0,0,0.0,0,4.655934945568595,5.209362274717327,8257.851996279362,3770.7076936475682,2.1900005694398406,2.0363506502531505,322.20680108403855,0.0,0.0,0.0,3.563127470486931,12.18918918918919,0.17513513513513512,14525.920762449066,37,0.1865234375
paper,200,1500000.0,2,4,exclude,launch,0,0.0,prior,0.0,rr_sweep,12600.0,43200,10789361.382957956,0,7069019.847307116,3720341.5356508405,0,0,0.0,0,4.882927992066068,5.385905744958149,7858.472907715733,3646.483413326351,2.15508258696484,2.03669970287792,322.4238821841503,0.0,0.02,0.0,3.699885914966979,13.210526315789474,0.17407213800313642,13515.96634748076,38,0.08250641822814941
paper,200,1500000.0,3,2,exclude,launch,0,0.0,prior,0.0,rr_sweep,12600.0,43200,9363202.499158584,0,5516192.764005301,3847009.7351532825,0,0,0.0,0,4.655934945568595,5.2689021598853065,8257.851996279362,3728.594569135178,2.2147358322722424,2.036079327862944,322.0381120874791,0.0,0.0,0.0,2.3635242731168113,7.7176470588235295,0.24986566362170876,10065.308549480655,85,0.19852423667907715
paper,200,1500000.0,3,3,exclude,launch,0,0.0,prior,0.0,rr_sweep,12600.0,43200,8050361.734893349,0,4787705.632608225,3262656.102285125,0,0,0.0,0,4.894312501170178,5.076745140184736,7839.418200296043,3866.5341797227275,2.02750521162035,2.037758793570193,323.08299408967844,0.0,0.0,0.0,2.357414252257723,8.285714285714286,0.26170798898071623,9303.734188215358,84,0.17650651931762695
paper,200,1500000.0,4,3,exclude,launch,0,0.0,prior,0.0,rr_sweep,12600.0,43200,7133256.944475986,0,4026106.062288027,3107150.8821879593,0,0,0.0,0,4.894312501170178,5.020951823229055,7839.418200296043,3909.2321217297736,2.005360120909685,2.03789816563195,323.16978066665024,0.0,0.0,0.0,1.7163590599066363,5.371794871794871,0.3075245365321701,7776.916411838245,156,0.17300677299499512
paper,200,1500000.0,5,1,exclude,launch,0,0.0,prior,0.0,rr_sweep,12600.0,43200,6803101.850202194,0,3876511.9005973106,2926589.9496048833,0,1,0.013651126462671885,1,4.743723496829792,4.821998827788721,8098.861339634391,4060.5190329916827,1.9945384503387895,2.042919906847864,326.304579629867,0.0,0.0,0.0,1.3744057694628626,3.9754098360655736,0.3632876712328767,6799.519965505934,244,0.2690284252166748
paper,200,1500000.0,3,4,exclude,launch,0,0.0,prior,0.0,rr_sweep,12600.0,43200,8604861.278865425,0,5255680.64407322,3349180.6347922045,0,0,0.0,0,4.882927992066068,4.8046723073371504,7858.472907715733,4085.946590100125,1.9232931058756604,2.037527753543636,322.93915181199105,0.0,0.0,0.0,2.3588789651169,7.5813953488372094,0.23542001070090957,10149.758662871422,86,0.12600994110107422
paper,200,1500000.0,6,1,exclude,launch,0,0.0,prior,0.0,rr_sweep,12600.0,43200,7018562.443862265,0,4495940.352884623,2522622.090977642,0,11,0.2930163298627246,14,4.743723496829792,5.258729921796996,8098.861339634391,3736.705249588529,2.167380298600272,2.035589876309758,321.73391757457813,0.0,0.0,0.0,1.2273386766005383,3.8363636363636364,0.4834619625137817,5172.548633028607,330,0.26453089714050293
paper,200,1500000.0,4,4,exclude,launch,0,0.0,prior,0.0,rr_sweep,12600.0,43200,7531984.851437239,0,4410266.524391426,3121718.3270458127,0,0,0.0,0,4.882927992066068,5.058547968807308,7858.472907715733,3880.8343591967564,2.0249441693106056,2.0375534585936608,322.9551538319001,0.0,0.004784688995215311,0.0,1.7243750411635703,4.993589743589744,0.2947143619861185,8476.264768513183,156,0.13251423835754395
paper,200,1500000.0,5,3,exclude,launch,0,0.0,prior,0.0,rr_sweep,12600.0,43200,6207959.102844995,0,3382814.2584788515,2825144.8443661444,0,1,0.011199456327871272,1,4.894312501170178,5.467564709858311,7839.418200296043,3595.6317881160176,2.1802616792426397,2.0346553202176523,321.15348949640776,0.0,0.0,0.0031545741324921135,1.4126551661165703,4.282700421940929,0.36728060671722645,6529.045855613116,237,0.20401406288146973
