layout,M,Emax,K,seed,coord,replan,divert,q,belief,tau,planner,L,Th,J,n_diverts,J_age,J_event,n_replans,n_never,share_never,n_reach_inf,K_reach_i,K_commute_i,r_max,r_c,rmax_over_rc,regime_bnd,P_bar,dup_frac,trunc_frac,empty_frac,T_s_over_t_c,mean_n,catch_rate,T_rev,n_sorties,secs
paper,200,1500000.0,2,1,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,6521805.7774746325,0,3533454.862605845,2988350.9148687874,0,0,0.0,0,4.743723496829792,4.0920802447121405,8098.861339634391,4757.089811271756,1.7024823286801156,2.0548233824747415,333.7957104646366,0.0,0.041666666666666664,0.0,3.766733680173281,29.22222222222222,0.3950819672131147,6324.2499631104065,36,0.38103771209716797
paper,200,1500000.0,3,1,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,3827659.6114710155,0,2131606.405496705,1696053.2059743106,0,0,0.0,0,4.743723496829792,5.681163359099745,8098.861339634391,3453.6904724121746,2.344987602197562,2.03863418024881,323.62828811433536,0.0,0.02857142857142857,0.0,2.558263595681519,22.32051282051282,0.5963455149501661,3693.301870868568,78,0.3760378360748291
paper,200,1500000.0,4,1,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,3458093.5043381024,0,1994952.8139540213,1463140.690384081,0,0,0.0,0,4.743723496829792,4.542190244749676,8098.861339634391,4319.350516469122,1.875018317859244,2.0388074999487062,323.73630658490436,0.0,0.0106951871657754,0.0,1.9254241305830957,13.316546762589928,0.6259583789704272,3541.3218878651974,139,0.38353800773620605
paper,200,1500000.0,5,2,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,4922358.733483374,0,2643255.491479699,2279103.2420036756,0,2,0.03587453369646761,4,4.655934945568595,3.8585209613438947,8257.851996279362,5053.494339070766,1.6340875129579766,2.0513857950861927,331.62362703270765,0.0,0.0,0.0,1.527497820393349,6.566210045662101,0.5263157894736842,4500.337292439142,219,0.3140265941619873
paper,200,1500000.0,3,2,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,4168308.560166625,0,2313382.2700162204,1854926.2901504047,0,0,0.0,0,4.655934945568595,4.699399649209659,8257.851996279362,4168.594251450808,1.9809680429812417,2.0418695183521787,325.64762798142027,0.0,0.009259259259259259,0.0,2.5269483227238223,20.098765432098766,0.5637044967880086,4084.4388781686603,81,0.3485262393951416
paper,200,1500000.0,6,1,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,5381273.611760605,0,3750679.211440085,1630594.4003205204,0,11,0.382764438316867,14,4.743723496829792,4.34881402650578,8098.861339634391,4491.736518178913,1.80305797253618,2.047740324391645,329.3279362068931,0.0,0.0,0.0,1.2877660620701687,5.726114649681529,0.6132075471698113,3652.905332959359,314,0.3840363025665283
paper,200,1500000.0,2,3,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,5471590.632459639,0,2995520.646760808,2476069.985698831,0,0,0.0,0,4.894312501170178,4.980868744406075,7839.418200296043,3915.450423280541,2.0021753190091025,2.0510354396622947,331.4026486278339,0.0,0.0625,0.0,3.7679205170863734,31.916666666666668,0.4212788823213326,5719.286425836686,36,0.32703185081481934
paper,200,1500000.0,2,2,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,5804088.44550352,0,3113421.4191758013,2690667.026327719,0,0,0.0,0,4.655934945568595,6.121069992543369,8257.851996279362,3188.1909358050057,2.5901372165448073,2.0496906643389057,330.55514724007605,0.0,0.08333333333333333,0.0,3.7235703271499645,33.111111111111114,0.4356328082563824,5438.533399389162,36,0.4025382995605469
paper,200,1500000.0,6,3,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,5219664.029457837,0,3382836.3329654867,1836827.6964923504,0,9,0.2961247657514965,12,4.894312501170178,4.206889913907887,7839.418200296043,4631.873217745275,1.6924941231686286,2.0527789248065007,332.5030393550193,0.0,0.0,0.0,1.2871076741297063,5.134185303514377,0.5651465798045603,4080.1874148793045,313,0.3265361785888672
paper,200,1500000.0,4,2,exclude,launch,0,0.0,prior,0.0,rr_tour,12600.0,43200,3947065.5881701983,0,2216812.2511073085,1730253.3370628897,0,0,0.0,0,4.655934945568595,4.18730940497977,8257.851996279362,4677.433369239704,1.7654665164416097,2.0422896156929156,325.9102928943856,0.0,0.005319148936170213,0.0,1.9124463254227273,11.878571428571428,0.5752833243389098,3929.707686405431,140,0.40903759002685547
