planner,layout,M,Emax,K,seed,J,visits,p_sat,drop_frac,n_never,secs
sa,ring,100,3000000.0,4,1,634320.165804535,1772,0.0,0.0,nan,24.732470273971558
sa,ring,100,3000000.0,4,2,556058.780332162,2021,0.0,0.0,nan,26.227886199951172
sa,ring,100,3000000.0,6,1,421929.129343495,2508,0.0,0.0,nan,32.72605895996094
sa,ring,100,3000000.0,6,2,420655.46387113555,2603,0.0,0.0,nan,33.15172839164734
sa,ring,100,3000000.0,8,1,365195.54184524313,2831,0.0,0.0,nan,39.58853816986084
sa,ring,100,3000000.0,8,2,353351.62468171556,2937,0.0,0.0,nan,40.637627840042114
sa,ring,100,1500000.0,2,1,1137854.5184607024,1038,0.01348747591522158,0.009281655568601499,0,14.567044019699097
sa,ring,100,1500000.0,3,1,846151.9613910265,1382,0.002170767004341534,0.00022081059879560785,0,17.47975778579712
sa,ring,100,1500000.0,4,1,854796.6763838585,1312,0.007621951219512195,0.004915555583029943,0,19.472355127334595
sa,ring,100,1500000.0,6,1,10567041.520589685,402,0.0,0.7116057188533462,68,18.808669567108154
sa,paper,200,1500000.0,2,1,5909660.606788186,1213,0.09480626545754328,0.07502104555526619,0,18.582818269729614
