M,Ee,fill,cap_packed,J_exact,J_greedy,J_SA,greedy_gap_pct,sa_gap_pct,instances
8,2000.0,0.2752,0,-1.5866,-1.5866,-1.5866,0.0,0.0,12
8,2483.0,0.2992,0,-2.0084,-2.0084,-2.0084,0.0,0.0,12
8,3082.0,0.5276,0,-3.9238,-3.9238,-3.9238,0.0,0.0,12
8,3826.0,0.726,0,-6.8097,-6.8097,-6.8097,0.0,0.0,12
8,4749.0,0.7942,0,-8.9726,-8.9644,-8.9644,0.092,0.092,12
8,5896.0,0.7784,0,-11.3435,-11.1643,-11.3299,1.58,0.12,12
8,7319.0,0.8762,0,-14.0351,-13.2291,-13.9766,5.743,0.417,12
8,9085.0,0.9097,0,-17.9551,-16.3015,-17.5596,9.21,2.203,12
8,11278.0,0.8785,0,-20.7563,-19.5932,-19.9919,5.603,3.683,12
8,14000.0,0.8989,0,-22.4424,-21.5699,-22.215,3.888,1.013,12
9,2000.0,0.2769,0,-2.3859,-2.3859,-2.3859,0.0,0.0,12
9,2483.0,0.3354,0,-3.2381,-3.2381,-3.2381,0.0,0.0,12
9,3082.0,0.5387,0,-4.6719,-4.6719,-4.6719,0.0,0.0,12
9,3826.0,0.7569,0,-8.1249,-7.9694,-7.9694,1.914,1.914,12
9,4749.0,0.8133,0,-9.7904,-9.7904,-9.7904,0.0,0.0,12
9,5896.0,0.822,0,-12.101,-12.027,-12.101,0.611,0.0,12
9,7319.0,0.8897,0,-15.8706,-14.7746,-15.7195,6.906,0.952,12
9,9085.0,0.8914,0,-18.261,-17.844,-18.1688,2.284,0.505,12
9,11278.0,0.9204,0,-21.2649,-18.9234,-20.6999,11.011,2.657,12
9,14000.0,0.9347,0,-23.2914,-22.2354,-23.1747,4.534,0.501,12
